"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"03/08/2026","X001Q1WV3T","B08QVCPDVT","FBO75077","Fossil Neutra Silver Watch FS5792","SELLABLE","3","0","0","0","0","0","0","0","0","0","0","0","3","0","HYD8"
"03/08/2026","X001Q1WV3T","B08QVCPDVT","FBO75077","Fossil Neutra Silver Watch FS5792","SELLABLE","7","0","0","0","0","0","0","0","0","0","0","0","7","0","MAA4"
"03/08/2026","X001Q1XV0B","B0B75LLWV6","FBO76447","Emporio Armani Analog White Dial Women's Watch-AR11484","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"03/08/2026","X001Q1XV0B","B0B75LLWV6","FBO76447","Emporio Armani Analog White Dial Women's Watch-AR11484","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DEL5"
"03/08/2026","X001Q1XV0B","B0B75LLWV6","FBO76447","Emporio Armani Analog White Dial Women's Watch-AR11484","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","HYD3"
"03/08/2026","X001Q1XV0B","B0B75LLWV6","FBO76447","Emporio Armani Analog White Dial Women's Watch-AR11484","SELLABLE","1","0","0","-1","0","0","0","0","0","0","0","0","0","0","HYD8"
"03/08/2026","X001Q1XW91","B077SMJP9Z","FBO69631","Skagen Stainless Steel Analog White Dial Women Watch - Skw2694, Rose Gold Band","SELLABLE","3","0","0","0","0","0","0","0","0","0","0","0","3","0","LKO1"
"03/08/2026","X001Q1Y0UL","B01GZZZ328","FBO69544","Emporio Armani Luigi Analog White Dial Men's Watch - AR2502","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR7"
"03/08/2026","X001Q1Y0UL","B01GZZZ328","FBO69544","Emporio Armani Luigi Analog White Dial Men's Watch - AR2502","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"03/08/2026","X001Q1Y0UL","B01GZZZ328","FBO69544","Emporio Armani Luigi Analog White Dial Men's Watch - AR2502","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM7"
"03/08/2026","X001Q1Z2U3","B07CSNG8XL","FBO69595","Fossil Carlie Analog White Dial Women's Watch - ES4433","SELLABLE","6","0","0","-1","0","0","0","0","0","0","0","0","5","0","BLR7"
"03/08/2026","X001Q1Z2U3","B07CSNG8XL","FBO69595","Fossil Carlie Analog White Dial Women's Watch - ES4433","SELLABLE","9","0","0","0","0","0","0","0","0","0","0","0","9","0","BOM5"
"03/08/2026","X001Q1Z2U3","B07CSNG8XL","FBO69595","Fossil Carlie Analog White Dial Women's Watch - ES4433","SELLABLE","12","0","0","0","0","0","0","0","0","0","0","0","12","0","BOM7"
"03/08/2026","X001Q1Z2U3","B07CSNG8XL","FBO69595","Fossil Carlie Analog White Dial Women's Watch - ES4433","SELLABLE","1","0","0","-1","0","0","0","0","0","0","0","0","0","0","CJB1"
"03/08/2026","X001Q1Z2U3","B07CSNG8XL","FBO69595","Fossil Carlie Analog White Dial Women's Watch - ES4433","SELLABLE","6","0","0","0","0","0","0","0","0","0","0","0","6","0","DEL4"
"03/08/2026","X001Q1Z2U3","B07CSNG8XL","FBO69595","Fossil Carlie Analog White Dial Women's Watch - ES4433","SELLABLE","9","0","0","0","0","0","0","0","0","0","0","0","9","0","DEL5"
"03/08/2026","X001Q1Z2U3","B07CSNG8XL","FBO69595","Fossil Carlie Analog White Dial Women's Watch - ES4433","SELLABLE","8","0","5","-1","0","0","0","0","0","0","0","0","12","0","HYD3"
"03/08/2026","X001Q1Z2U3","B07CSNG8XL","FBO69595","Fossil Carlie Analog White Dial Women's Watch - ES4433","SELLABLE","7","0","0","0","0","0","0","0","0","0","0","0","7","0","HYD8"
"03/08/2026","X001Q1Z2U3","B07CSNG8XL","FBO69595","Fossil Carlie Analog White Dial Women's Watch - ES4433","SELLABLE","4","0","0","0","0","0","0","0","0","0","0","0","4","0","MAA4"
"03/08/2026","X001Q1Z6AJ","B00NVAWTLY","FBO70527","Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","CUSTOMER_DAMAGED","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DEL2"
"03/08/2026","X001Q1Z6AJ","B00NVAWTLY","FBO70527","Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","SELLABLE","1","1","0","0","0","0","-1","0","0","0","0","0","0","0","BLR5"
"03/08/2026","X001Q1Z6AJ","B00NVAWTLY","FBO70527","Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","SELLABLE","1","0","0","-1","0","0","0","0","0","0","0","0","0","0","BLR7"
"03/08/2026","X001Q1Z6AJ","B00NVAWTLY","FBO70527","Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","SELLABLE","0","0","0","0","0","0","2","0","0","0","0","0","2","0","BLR8"
"03/08/2026","X001Q1Z6AJ","B00NVAWTLY","FBO70527","Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","SELLABLE","1","0","0","-1","0","0","0","0","0","0","0","0","0","0","DEL5"
"03/08/2026","X001Q1Z6AJ","B00NVAWTLY","FBO70527","Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","SELLABLE","0","0","5","0","0","0","0","0","0","0","0","0","5","0","HYD3"
"03/08/2026","X001Q1Z6AJ","B00NVAWTLY","FBO70527","Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","MAA4"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","DEFECTIVE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CCX1"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","SELLABLE","2","0","0","-1","0","0","0","0","0","0","0","0","1","0","BLR7"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","SELLABLE","3","0","0","0","0","0","1","0","0","0","0","0","4","0","BLR8"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","SELLABLE","6","0","0","0","0","0","0","0","0","0","0","0","6","0","BOM5"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","SELLABLE","6","0","0","0","0","0","0","0","0","0","0","0","6","0","BOM7"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","SELLABLE","3","0","0","0","0","0","0","0","0","0","0","0","3","0","DEL4"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","SELLABLE","7","0","0","0","0","0","0","0","0","0","0","0","7","0","DEL5"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","SELLABLE","0","0","4","0","0","0","0","0","0","0","0","0","4","0","HYD3"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","HYD8"
"03/08/2026","X001Q1Z7ET","B007NM84PQ","FBO66627","Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020","SELLABLE","6","0","0","0","0","0","0","0","0","0","0","0","6","0","MAA4"
"03/08/2026","X001Q74M5X","B0BQZG6C28","FBA77981","Emporio Armani Analog White Dial Women's Watch-AR80065SET","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DEL4"
"03/08/2026","X001Q74MGR","B0BQZH3LGP","FBA77972","Armani Exchange Analog Beige Dial Men's Watch-AX1739","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DEL4"
"03/08/2026","X001Q7B2B5","B0BQ34TRDX","FBA78013","Fossil Raquel Analog White Dial Women's Watch-Es5271 - Stainless Steel","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","AMD2"
"03/08/2026","X001Q7B2B5","B0BQ34TRDX","FBA78013","Fossil Raquel Analog White Dial Women's Watch-Es5271 - Stainless Steel","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR8"
"03/08/2026","X001Q7B2B5","B0BQ34TRDX","FBA78013","Fossil Raquel Analog White Dial Women's Watch-Es5271 - Stainless Steel","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CCX1"
"03/08/2026","X001Q7B2B5","B0BQ34TRDX","FBA78013","Fossil Raquel Analog White Dial Women's Watch-Es5271 - Stainless Steel","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","LKO1"
"03/08/2026","X001R0RF21","B088NYP2LX","FBA78457","MVMT Stainless Steel Caviar Analog Black Dial Men Watch-28000052-D, Black Band","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR7"
"03/08/2026","X001R0V289","B088NZCC28","FBA78458","MVMT Caviar Quartz Black Round Dial Men's Watch - 28000053-D","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR7"
"03/08/2026","X001U7SG6F","B00DUCIK7U","FBP75260","Fossil Decker Brown Watch CH2882","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"03/08/2026","X001U7SG6F","B00DUCIK7U","FBP75260","Fossil Decker Brown Watch CH2882","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CCX1"
"03/08/2026","X001UXQ189","B0CBCWGTGR","FBA79029","Diesel Leather Analog Blue Dial Men Watch-Dz2189, Brown Band","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"03/08/2026","X001UXQ189","B0CBCWGTGR","FBA79029","Diesel Leather Analog Blue Dial Men Watch-Dz2189, Brown Band","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CCX1"
"03/08/2026","X001UXQ189","B0CBCWGTGR","FBA79029","Diesel Leather Analog Blue Dial Men Watch-Dz2189, Brown Band","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CJB1"
"03/08/2026","X001UXQ189","B0CBCWGTGR","FBA79029","Diesel Leather Analog Blue Dial Men Watch-Dz2189, Brown Band","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DEL5"
