(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0846Q1JT5,B0846Q1JT5,Armani Exchange Analog Silver Dial Women's Stainless Steel Watch-Ax5901,848,13,0.52%,0.46%,"1,055",17,0.48%,0.41%,98.56%,100.00%,1,0,0.12%,0.00%,"₹15,495.00",₹0.00,1,0
B08XBYKWW3,B08XBYKWW3,Emporio Armani Diver Analog Green Dial Men's Watch-AR11338,212,6,0.13%,0.21%,270,6,0.12%,0.15%,97.88%,100.00%,1,0,0.47%,0.00%,"₹22,995.00",₹0.00,1,0
B094R8FJ6J,B094R8FJ6J,Michael Kors Analog Men Alek Silver Dial Two Tone Watch MK9183,176,4,0.11%,0.14%,245,5,0.11%,0.12%,99.07%,100.00%,1,0,0.57%,0.00%,"₹16,097.00",₹0.00,1,0
B09GYQ4RS7,B09GYQ4RS7,Fossil Everett Analog Gray Dial Men's Stainless Steel Watch-Me3206,941,19,0.58%,0.67%,"1,231",21,0.56%,0.51%,80.57%,81.82%,1,0,0.11%,0.00%,"₹21,995.00",₹0.00,1,0
B09SHQSHBF,B09SHQSHBF,"Fossil Bronson Analog Black Dial Men's Watch-ME3218 Stainless Steel, Grey Strap","1,573",23,0.97%,0.81%,"1,869",33,0.86%,0.80%,96.56%,92.86%,1,0,0.06%,0.00%,"₹22,995.00",₹0.00,1,0
B0BFZRGPJ6,B0BFZRGPJ6,Emporio Armani Analog Green Dial Men's Watch-AR11500,403,16,0.25%,0.56%,506,25,0.23%,0.61%,97.20%,100.00%,1,0,0.25%,0.00%,"₹27,995.00",₹0.00,1,0
B0BQ35JRM3,B0BQ35JRM3,Fossil Machine Black Watch FS5971,173,0,0.11%,0.00%,217,0,0.10%,0.00%,95.63%,0.00%,1,0,0.58%,0.00%,"₹15,995.00",₹0.00,1,0
B0CF61X2BG,B0CF61X2BG,Fossil Analog Blue Dial Men's Watch-Fs6029 - Stainless Steel,367,8,0.23%,0.28%,473,9,0.22%,0.22%,91.80%,100.00%,1,0,0.27%,0.00%,"₹13,495.00",₹0.00,1,0
B0CJ6ZHK1S,B0CJ6ZHK1S,"Fossil Stainless Steel Analog Brown Dial Women's Watch-Es5323, Band Color:Rose Gold",334,2,0.21%,0.07%,473,2,0.22%,0.05%,93.69%,100.00%,1,0,0.30%,0.00%,"₹15,995.00",₹0.00,1,0
B0CRCWV9DV,B0CRCWV9DV,"Fossil Men Sport Tourer Silver Quartz Stainless Steel Chronograph Watch Fs6048, Green Dial, Silver Band",763,16,0.47%,0.56%,"1,008",28,0.46%,0.68%,93.29%,100.00%,1,0,0.13%,0.00%,"₹15,995.00",₹0.00,1,0
B0CRCZ8TGK,B0CRCZ8TGK,"Fossil Women Carlie Gold Quartz Stainless Steel Analogue Watch Es5329, Dial-Color:White",710,7,0.44%,0.25%,895,10,0.41%,0.24%,86.12%,100.00%,1,0,0.14%,0.00%,"₹11,995.00",₹0.00,1,0
B0CYNMJNWY,B0CYNMJNWY,"Armani Exchange Silicone Analog Black Dial Men's Watch-Ax7159Set, Band Color-Black",328,6,0.20%,0.21%,445,8,0.20%,0.19%,98.24%,100.00%,1,0,0.30%,0.00%,"₹8,796.00",₹0.00,1,0
B0CZ9HTWNC,B0CZ9HTWNC,Michael Kors Sage Silver Watch MK4824,54,2,0.03%,0.07%,84,5,0.04%,0.12%,24.32%,0.00%,1,0,1.85%,0.00%,"₹12,947.00",₹0.00,1,0
B0D2P5TGWK,B0D2P5TGWK,"nexlev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",340,9,0.21%,0.32%,467,13,0.21%,0.32%,2.87%,100.00%,1,1,0.29%,11.11%,₹299.00,₹299.00,1,1
B0D2P7WLJB,B0D2P7WLJB,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-02 Green",154,3,0.10%,0.11%,233,5,0.11%,0.12%,2.43%,100.00%,1,0,0.65%,0.00%,₹299.00,₹0.00,1,0
B0D84YY632,B0D84YY632,"Armani Exchange Stainless Steel Analog Black Dial Men's Watch-Ax4180, Band Color:Gold","1,286",24,0.79%,0.84%,"1,636",26,0.75%,0.63%,91.73%,100.00%,1,0,0.08%,0.00%,"₹15,995.00",₹0.00,1,0
B0D854LDQM,B0D854LDQM,"Armani Exchange Stainless Steel Analog Blue Dial Men's Watch-Ax4182, Band Color:Gray",421,8,0.26%,0.28%,593,11,0.27%,0.27%,99.42%,100.00%,1,0,0.24%,0.00%,"₹15,995.00",₹0.00,1,0
B0D8572WTJ,B0D8572WTJ,"Armani Exchange Stainless Steel Analog Black Dial Men's Watch-Ax4183, Band Color:Black",409,6,0.25%,0.21%,553,8,0.25%,0.19%,99.40%,80.00%,1,0,0.24%,0.00%,"₹15,995.00",₹0.00,1,0
B0D85F9QCK,B0D85F9QCK,"Armani Exchange Stainless Steel Analog Gray Dial Women's Watch-Ax4614, Band Color:Gold",11,0,0.01%,0.00%,15,0,0.01%,0.00%,92.31%,0.00%,1,0,9.09%,0.00%,"₹10,847.00",₹0.00,1,0
B0D9345QY7,B0D9345QY7,"Emporio Armani Stainless Steel Analog Green Dial Men's Watch-Ar60080, Band Color:Silver",163,0,0.10%,0.00%,230,0,0.11%,0.00%,100.00%,0.00%,1,0,0.61%,0.00%,"₹38,995.00",₹0.00,1,0
B0D9362N4Q,B0D9362N4Q,Fossil Harlow Silver Watch ES5363,722,11,0.45%,0.39%,882,16,0.40%,0.39%,76.38%,100.00%,1,0,0.14%,0.00%,"₹13,495.00",₹0.00,1,0
B0D93652ZY,B0D93652ZY,Fossil Harlow Two Tone Watch ES5362,249,6,0.15%,0.21%,385,13,0.18%,0.32%,52.87%,83.33%,1,0,0.40%,0.00%,"₹13,495.00",₹0.00,1,0
B0D955B6SX,B0D955B6SX,Michael Kors Lexington Silver Watch MK4843,38,2,0.02%,0.07%,55,6,0.03%,0.15%,100.00%,0.00%,1,0,2.63%,0.00%,"₹18,495.00",₹0.00,1,0
B0D955YGX7,B0D955YGX7,Michael Kors Analog Men Accelerator 2.0 Black Dial Gold Watch MK9177,157,4,0.10%,0.14%,225,8,0.10%,0.19%,98.98%,100.00%,1,0,0.64%,0.00%,"₹24,495.00",₹0.00,1,0
B0D9564Z9T,B0D9564Z9T,Michael Kors Accelerator 2.0 Silver Watch MK9176,104,3,0.06%,0.11%,141,3,0.06%,0.07%,96.85%,100.00%,1,0,0.96%,0.00%,"₹11,998.00",₹0.00,1,0
B0D9573TBX,B0D9573TBX,Michael Kors Accelerator 2.0 Black Watch MK9179,70,2,0.04%,0.07%,107,2,0.05%,0.05%,94.51%,100.00%,1,0,1.43%,0.00%,"₹17,147.00",₹0.00,1,0
