sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,store
FBA79002,X001U8B54T,B0CFH5R7Y7,nexlev Travel Blanket - Premium Soft Lightweight & Cozy 2 in 1 Blanket with Soft Bag Pillowcase | Hand Luggage Sleeve | Perfect for Flight Car Bus Travel Blanket | 300 GSM (Silver),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79003,X001U8F14J,B0CFH6C6YM,Nexlev Sherpa Waterproof Camping Blanket - Extra Thick and Warm Large Sherpa Fleece Outdoor Blanket for Camping Picnics Beaches Stadiums Pets - Washable and Windproof for Cold Weather TR-05 (Grey),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79159,X001WWKKA3,B093KRX2K1,"neabot P1 Pro Pet Grooming Kit & Vacuum Suction 99% Pet Hair, Professional Grooming Clippers with 5 Proven Grooming Tools for Dogs Cats and Other Animals(Renamed to Neakasa), Multicolored",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79172,X001XD074P,B0CBK1CRZG,"Neakasa Pet Grooming Kit & Vacuum P0 Pro, EU plug",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79174,X001YQRAJV,B0CW1JJP9S,"Nexlev Dental Flosser| 6 Water Pressures| 4 Cleaning Modes| 2 Nozzle Tips, Tongue Cleaner, Carry Case for Tips| USB-C Charging| 1500mAh| 250ml Tank| IPX7 Water Proof| Carry Pouch | Aqua DF-01-BK",NewItem,,No,,Yes,1,0,1,0,1,,0,0,0,0,0,0,
FBA79213,X001X8AE6L,B0C7GSJDKY,"Nexlev NPET Cat Water Foutain, 54oz/1.6L Automatic Cat Water Fountain with Leaf Shape Kit | Bottom Suction Ultra Quiet Pump for Cats & Small Dogs Without Adapter (WF100Blue-Light)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79214,X001X830G7,B0C7GMKPP3,"Nexlev NPET Cat Water Foutain, 54oz/1.6L Automatic Cat Water Fountain with Leaf Shape Kit | Bottom Suction Ultra Quiet Pump for Cats & Small Dogs Without Adapter (WF100White-Light) (WF100-White Light)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79215,X001X8DD55,B0C7GSJDKY,"Nexlev NPET Cat Water Foutain, 54oz/1.6L Automatic Cat Water Fountain with Leaf Shape Kit | Bottom Suction Ultra Quiet Pump for Cats & Small Dogs Without Adapter (WF100Blue-Light)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79217,X001X8DYIB,B0CQ2RKB68,Nexlev Cat Fountain | 54oz/1.6L Automatic Cat Water Fountain with Leaf Shape kit with LED Light | Bottom Suction Ultra Quiet Pump for Cats & Small Dogs without Adapter (WF100BL-Light),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79218,X001X8DL6B,B0CQ2R3LPH,Nexlev Cat Foutain | 54oz/1.6L Automatic Cat Water Fountain with Leaf Shape kit with LED Light | Bottom Suction Ultra Quiet Pump for Cats & Small Dogs without Adapter (WF100WH-Light),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79218_Parent,X0022MSH43,B0CQ2R3LPH,Nexlev Cat Foutain | 54oz/1.6L Automatic Cat Water Fountain with Leaf Shape kit with LED Light | Bottom Suction Ultra Quiet Pump for Cats & Small Dogs without Adapter (WF100WH-Light),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79228,X001XI6CFX,B0CQX9636Z,Nexlev Garment Steamer GS-03,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79229,X001XIENRR,B0CQX9ZZMH,NexLev Handheld Garment Steamer |1800 Watts | 35 g/min | 300 ML | Vertical & Horizontal Ironing for Silk Velvet & | Damage Free Steam for all Cloth Types | 25sec quick heat | 3 Brushes | GS-04,NewItem,,No,,Yes,3,2,0,1,3,,0,0,0,0,0,0,
FBA79233,X001XVGV9R,B0CS69T7HF,NexLev Smart Electric Toothbrush for Adults | 2 Min Timer with Quadpacer | 3 Replacebale Heads|AAA Battery Powered | 2 Cleaning Modes|Upto 60 Days | Waterproof | Travel Case | Soft Bristle|ET-01 Black,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79234,X001XY6BWV,B0CSG2JZ19,NexLev Smart Electric Toothbrush | 2-Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery | 3 Cleaning Modes | Upto 60 Days | Waterproof | Travel Case | Soft Bristles | ET-02 Green,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79258,X001XY6DUV,B0CSG3FC4G,Nexlev Sonic Spin Mop | ET-01 Extra Mop Pads | Water Spray Function | Mopping for all Floor types | ET-03,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79262,X001ZOM871,B0CYSMBCB8,NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Window Car & Office Cleaning | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 Meter Cord | 1000W |SC-02,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79263,X001ZOLVQP,B0CYSLCRQS,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtration",NewItem,,No,,Yes,108,65,10,33,199,,0,90,1,3,0,0,
FBA79265,X0020FWBW1,B0D2LHNS9B,"NexLev Foot Callus Remover Electric Scrubber & Shaver for Dead, Hard & Cracked Skin Professional Pedicure at Home Waterproof Type C 3 Crystal Quartz Heads for Men and Women CR-01",NewItem,,No,,Yes,213,125,0,88,223,,10,0,0,0,0,0,
