sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,store
FBA76413,X001NNMDSN,B0BJZNQYVB,"White Mulberry Plastic Wire Storage Cubes (Set of 4) Strong, Durable & Stackable, Suitable For Storing Clothes, Toys, Shoes, Sheets And Other Houshold Items, Black, Rectangular",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76415,X001MZYX7L,B0BFWD6SNF,"White Mulberry L Shaped Computer Table | Spacious Study Table for Home with Monitor Raising Shelf, Engineered Wood Top & Steel Legs for Home, Office, Gaming & Study, Carbon Fiber (130+130)*45 * 77cm",NewItem,,No,,Yes,38,15,18,5,38,,0,0,0,0,0,0,
FBA76416,X001N02VPV,B0BFW59TRG,"White Mulberry L-Shape Corner Desk | Monitor Raising Shelf | Made of P2 Grade Melamine Particle Board & Sturdy Steel Leg | Suitable for Office, Home, Gaming, Streaming | Black |L(130+130)*B45*H77cm",NewItem,,No,,Yes,14,13,1,0,14,,0,0,0,0,0,0,
FBA76417,X001MZZQ8V,B0BFVMDJ2K,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|White,NewItem,,No,,Yes,106,96,7,3,106,,0,0,0,0,0,0,
FBA76418,X001N01O8V,B0BFVNS8HS,"White Mulberry L Shaped Computer Table | Spacious L Shape Study Table For Home with Monitor Raising Shelf, Engineered Wood Top & Steel Legs for Home, Office, Gaming & Study, Brown, (130+130)*45 * 77cm",NewItem,,No,,Yes,25,17,6,2,25,,0,0,0,0,0,0,
FBA76419,X001MZXL3N,B0BFW5K3F1,"White Mulberry Classic Office Desk|Side Storage Bag|Laptop, Study & Computer Desk|P2 Grade Melamine Particle Board & Thick Steel Legs|Use in Office, Workstation, Home|Black| 120 * 60 * 73cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76764,X001O8S0F7,B0BMV1WPHL,"White Mulberry Ergonomic Sit Stand Desk | Standing Desk for Office, Home & Study | Everyday Ergonomic Desk | 1200mm x 600mm | Carbon Fibre",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76765,X001O7YYCV,B0BMQQQ7YD,"White Mulberry Motorized Height Adjustable Sit-Stand Desk | Electronic Height Adjustable | Motor & Memory Preset Controller | Office, Workstation or Home | Carbon Fibre | 120 * 60*H(75-118) cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76858,X001OEE2V7,B0BNDYQ5ZR,"White Mulberry 4 Tier Shelf Organiser | Steel Frame to Store Clothes Shoes, Bedding, Other Household & Office Items | Strong & Durable | No Tools Assembly | White | 60 * 30 * 60cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76859,X001OEG0BR,B0BNDY71BZ,"White Mulberry Single Garment Rack | Epoxy-Coated Metal Frame | Hangs All Kinds of Clothes | Bedroom, Laundry Services, Showroom, Botique Clothes Stand | Metal Clothes Rail | White | 85 * 45 * 146cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
