asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0B4G1PXWV,X001L4N6P3,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",BOM5,IN,21.70,12.19,8.40,centimeter,0.45,kilograms,0.0022,cubic meter,0.06,0.0,0.0001,2026-05,2083.88,INR,0.2773,0.0
B0DFMMTWLY,X00247YR3V,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",CCX1,IN,30.20,12.80,6.30,centimeter,0.46,kilograms,0.0024,cubic meter,1.0,0.0,0.0024,2026-05,2083.88,INR,5.0748,0.0
B0DFMMTWLY,X00247YR3V,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",DEL4,IN,30.20,12.80,6.30,centimeter,0.46,kilograms,0.0024,cubic meter,1.0,0.0,0.0024,2026-05,2083.88,INR,5.0748,0.0
B0DFMMTWLY,X00247YR3V,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",BOM5,IN,30.20,12.80,6.30,centimeter,0.46,kilograms,0.0024,cubic meter,7.39,0.0,0.0180,2026-05,2083.88,INR,37.5002,0.0
B0DFMMTWLY,X00247YR3V,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",HYD3,IN,30.20,12.80,6.30,centimeter,0.46,kilograms,0.0024,cubic meter,0.1,0.0,0.0002,2026-05,2083.88,INR,0.5075,0.0
B0DFMMTWLY,X00247YR3V,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",PNQ3,IN,30.20,12.80,6.30,centimeter,0.46,kilograms,0.0024,cubic meter,1.0,0.0,0.0024,2026-05,2083.88,INR,5.0748,0.0
B0DFMMTWLY,X00247YR3V,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",DEL5,IN,30.20,12.80,6.30,centimeter,0.46,kilograms,0.0024,cubic meter,4.55,0.0,0.0111,2026-05,2083.88,INR,23.0902,0.0
B0G53H49BS,X002GRD0C3,"Audio Array Sound Mixer 2026 Edition Audio Mixer 4 Channel Hybrid USB Control | 4 Analog 2 Digital | 2XLR Mic Inputs,TRS Stereo In |48V Phantom | Hi-Z,2 Band EQ,Monitoring,Amp Out, USB-C Power | AI-13",CJB1,IN,25.40,22.61,7.60,centimeter,0.72,kilograms,0.0044,cubic meter,0.39,0.0,0.0017,2026-05,2083.88,INR,3.5464,0.0
B0DFMMTWLY,X00247YR3V,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",BLR8,IN,30.20,12.80,6.30,centimeter,0.46,kilograms,0.0024,cubic meter,2.48,0.0,0.0060,2026-05,2083.88,INR,12.5866,0.0
B0DFMMTWLY,X00247YR3V,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",ISK3,IN,30.20,12.80,6.30,centimeter,0.46,kilograms,0.0024,cubic meter,1.0,0.0,0.0024,2026-05,2083.88,INR,5.0747,0.0
B0DFMMTWLY,X00247YR3V,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",BOM7,IN,30.20,12.80,6.30,centimeter,0.46,kilograms,0.0024,cubic meter,1.0,0.0,0.0024,2026-05,2083.88,INR,5.0748,0.0
B0GN2LHJY4,X002IJA8JR,"Audio Array MT-12 12 Analog+2 Digital Channel Hybrid Analog+USB Mixer, 48kHz DSP, 4 XLR & 8 TRS Inputs, 3-Band EQ, +48V Phantom, 24dBu Balanced XLR Out, Graphical EQ, Type-C Power, Studio & Streaming",DEL5,IN,43.90,30.30,11.70,centimeter,2.69,kilograms,0.0156,cubic meter,0.87,0.0,0.0131,2026-05,2083.88,INR,27.2445,0.03
