PO,Order date,Last updated,PO Status,Confirmation Status,Ship-to location,ASIN,SKU,Model,Brand,Accepted quantity,Received quantity,Remaining quantity,Cancelled quantity,Cost,Currency,Total accepted cost,Total remaining cost,Receive Status
4IOBGKAI,2026-06-01T02:09:41Z,2026-06-02T10:56:23Z,OPEN,ACCEPTED,ISK3,B07GVGMW59,FBK77102,G11,Tonor,1,0,1,0,1818.39,INR,1818.39,1818.39,NOT_RECEIVED
4IOBGKAI,2026-06-01T02:09:41Z,2026-06-02T10:56:23Z,OPEN,ACCEPTED,ISK3,B0BYHHSLPC,FBA79116,TC-777 PRO,Tonor,4,0,4,0,1751.02,INR,7004.08,7004.08,NOT_RECEIVED
4IOBGKAI,2026-06-01T02:09:41Z,2026-06-02T10:56:23Z,OPEN,ACCEPTED,ISK3,B0CQX3VB1R,FBA79696,TD310+,Tonor,2,0,2,0,1751.02,INR,3502.04,3502.04,NOT_RECEIVED
49YMMJBL,2026-06-08T01:43:30Z,2026-06-13T11:58:34Z,OPEN,ACCEPTED,MAA4,B08NDB5NWP,FBA77110,TM20,Tonor,3,0,3,0,2121.57,INR,6364.710000000001,6364.710000000001,NOT_RECEIVED
49YMMJBL,2026-06-08T01:43:30Z,2026-06-13T11:58:34Z,OPEN,ACCEPTED,MAA4,B0CQX3VB1R,FBA79696,TD310+,Tonor,4,0,4,0,1751.02,INR,7004.08,7004.08,NOT_RECEIVED
49YMMJBL,2026-06-08T01:43:30Z,2026-06-13T11:58:34Z,OPEN,ACCEPTED,MAA4,B0BYHHSLPC,FBA79116,TC-777 PRO,Tonor,2,0,2,0,1751.02,INR,3502.04,3502.04,NOT_RECEIVED
3OYYPDSR,2025-12-29T01:34:57Z,2026-02-01T14:24:03Z,CLOSED,ACCEPTED,ISK3,B0BTCXQQ6M,FBA79113,TC310,Tonor,1,0,1,0,1751.02,INR,1751.02,1751.02,NOT_RECEIVED
3BG2D4JL,2026-02-23T18:18:52Z,2026-03-26T14:29:16Z,CLOSED,ACCEPTED,ISK3,B08V1JS3NY,FBA77115,TC40,Tonor,10,6,4,0,2586.17,INR,25861.7,10344.68,RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B0CQX3VB1R,FBA79696,TD310+,Tonor,3,0,3,0,1751.02,INR,5253.0599999999995,5253.0599999999995,NOT_RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B0CCV74CL7,FBA79114,TC310+,Tonor,7,0,7,0,2516.25,INR,17613.75,17613.75,NOT_RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B0CSCT63BL,FBA79577,TM310,Tonor,1,0,1,0,2020.51,INR,2020.51,2020.51,NOT_RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B0CCVBQRFX,FBA79582,TD510+,Tonor,1,0,1,0,4334.05,INR,4334.05,4334.05,NOT_RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B0CQX4K9P5,FBA79697,TD310,Tonor,6,0,6,0,1683.64,INR,10101.84,10101.84,NOT_RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B0CFKHCQ8W,FBA79585,T20LP,Tonor,6,0,6,0,1461.23,INR,8767.380000000001,8767.380000000001,NOT_RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B01ISNU3X4,FBA77113,K1,Tonor,20,0,20,0,1279.41,INR,25588.2,25588.2,NOT_RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B0BYHHSLPC,FBA79116,TC-777 PRO,Tonor,14,0,14,0,1751.02,INR,24514.28,24514.28,NOT_RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B07GVGMW59,FBK77102,G11,Tonor,1,0,1,0,1818.39,INR,1818.39,1818.39,NOT_RECEIVED
38UVULAF,2026-06-15T02:22:43Z,2026-06-15T15:09:04Z,OPEN,ACCEPTED,ISK3,B08NDB5NWP,FBA77110,TM20,Tonor,2,0,2,0,2121.57,INR,4243.14,4243.14,NOT_RECEIVED
32ZQX1WZ,2026-05-25T01:56:46Z,2026-06-15T09:15:59Z,OPEN,ACCEPTED,ISK3,B0CCV74CL7,FBA79114,TC310+,Tonor,19,16,3,0,2516.25,INR,47808.75,7548.75,PARTIALLY_RECEIVED
32ZQX1WZ,2026-05-25T01:56:46Z,2026-06-15T09:15:59Z,OPEN,ACCEPTED,ISK3,B0BBL47VR5,FBA77116,TC40S,Tonor,3,0,3,0,2586.17,INR,7758.51,7758.51,NOT_RECEIVED
2KRI1A4O,2026-04-27T02:10:34Z,2026-06-04T14:26:09Z,CLOSED,ACCEPTED,ISK3,B0BRKFP94K,FBA79111,TD510,Tonor,1,0,1,0,3005.66,INR,3005.66,3005.66,NOT_RECEIVED
2CLKPDLX,2026-05-18T02:15:42Z,2026-06-14T11:31:01Z,OPEN,ACCEPTED,ISK3,B0CCV74CL7,FBA79114,TC310+,Tonor,9,8,1,0,2516.25,INR,22646.25,2516.25,PARTIALLY_RECEIVED
2CLKPDLX,2026-05-18T02:15:42Z,2026-06-14T11:31:01Z,OPEN,ACCEPTED,ISK3,B0BRCR2QQ7,FBA79576,TC30S+,Tonor,1,0,1,0,2460.32,INR,2460.32,2460.32,NOT_RECEIVED
2CLKPDLX,2026-05-18T02:15:42Z,2026-06-14T11:31:01Z,OPEN,ACCEPTED,ISK3,B0BBL47VR5,FBA77116,TC40S,Tonor,3,0,3,0,2586.17,INR,7758.51,7758.51,NOT_RECEIVED
291CSUQH,2026-03-23T01:21:53Z,2026-04-24T14:31:10Z,CLOSED,ACCEPTED,ISK3,B078WNW4YW,FBA77117,S20,Tonor,1,0,1,0,1747.25,INR,1747.25,1747.25,NOT_RECEIVED
27FVSNUZ,2026-02-23T01:49:22Z,2026-03-28T14:33:32Z,CLOSED,ACCEPTED,MAA4,B0BYHHSLPC,FBA79116,TC-777 PRO,Tonor,1,0,1,0,1751.02,INR,1751.02,1751.02,NOT_RECEIVED
