ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15M7RVRXB,FBA STA (24/08/2026 09:27)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79480,X0024GS5UN,12,0,0
FBA15M7RVRXB,FBA STA (24/08/2026 09:27)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79570,X0025R19UT,7,0,0
FBA15M7RVRXB,FBA STA (24/08/2026 09:27)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79812,X002F7TH85,3,0,0
FBA15M7RTFB9,FBA STA (24/08/2026 09:30)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA78980,X001U1DYK9,1,0,0
FBA15M7RTFB9,FBA STA (24/08/2026 09:30)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA78981,X001U1K281,11,0,0
FBA15M7RTFB9,FBA STA (24/08/2026 09:30)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79263,X001ZOLVQP,16,0,0
FBA15M7RTFB9,FBA STA (24/08/2026 09:30)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79348,X0022KC71T,1,0,0
FBA15M7RTFB9,FBA STA (24/08/2026 09:30)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79404,X00230BF25,1,0,0
FBA15M7RTFB9,FBA STA (24/08/2026 09:30)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79652,X002A07CLV,3,0,0
FBA15M7RTFB9,FBA STA (24/08/2026 09:30)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79682,X002872SBZ,1,0,0
FBA15M7RTFB9,FBA STA (24/08/2026 09:30)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79692,X0028722JD,1,0,0
