snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA79956,X002IG9GJN,B0GMPGNXX3,,New,125,0,0,2,123,0,0,0,INR,0,0.0,0,0.0,3,12,20,24,Low traffic,599.0,0.0,599.0,0.0,Advertise listing,0,0.0,0,0,330213.45,0.17,0.002752,cubic meter,,0.343979,IN,,5370,,125,41,67,599.0,1522.88,6091.52,10152.53,12225.42,0,2,0,123,0,0,0,5080.08,0,0,0,0,0,0,2026-07-14,125,0,0,
2026-07-16,FBA79845,X002E4UUS5,B0FN7B3KWS,,New,6,0,0,6,0,0,0,0,INR,0,0.0,0,0.0,0,1,1,4,,12999.0,0.0,12999.0,0.0,NoRestockExcessActionRequired,6,0.0,0,0,0.0,0.94,0.085743,cubic meter,,0.514459,IN,,329,,0,24,19,12999.0,0.0,11016.1,11016.1,39996.6,4,0,2,0,0,0,0,428.46,0,0,0,0,0,1,2026-07-14,6,0,0,
2026-07-16,FBA79965,X002GRAUDP,B0G53PRM34,,New,7,0,0,0,7,0,0,0,INR,0,0.0,0,0.0,0,0,0,1,Low conversion,8299.0,0.0,8299.0,0.0,Lower price,0,0.0,0,0,148462.31,0.06,0.021303,cubic meter,,0.149124,IN,,1621,,15,,195,8299.0,0.0,0.0,0.0,7202.54,0,0,0,7,0,0,0,240.72,8,0,8,0,0,0,2026-07-14,15,0,0,
2026-07-16,FBA78420,X001S4I8HR,B0C5957W3P,,New,8,0,0,8,0,0,0,0,INR,0,0.0,0,0.0,1,1,1,1,Low traffic,449.0,0.0,449.0,0.0,Advertise listing,0,0.0,0,0,2921.84,0.14,4.12E-4,cubic meter,,0.003295,IN,,11983,,0,32,104,449.0,380.51,380.51,380.51,380.51,0,0,8,0,0,0,0,5.32,0,0,0,0,0,0,2026-07-14,8,0,0,
2026-07-16,FBA79959,X002GFVGS5,B0G39ZHDYP,,New,46,0,0,47,0,0,0,0,INR,0,0.0,0,0.0,7,29,86,87,,1199.0,0.0,1199.0,0.0,CreateShippingPlan,0,0.0,0,0,162800.64,1.77,0.007953,cubic meter,,0.36585,IN,,,,0,6,6,1199.0,7409.3,29683.88,87669.42,88685.52,47,0,0,0,0,0,0,7410.43,0,0,0,0,2,0,2026-07-14,46,2,0,
2026-07-16,FBA79813,X002FSN1LN,B0FG88HVQ8,,New,185,0,0,83,102,0,0,0,INR,0,0.0,0,0.0,3,17,63,83,,1999.0,0.0,1999.0,0.0,NoRestockExcessActionRequired,185,0.0,0,0,0.0,0.37,0.002522,cubic meter,,0.466572,IN,,170,,0,43,28,1999.0,4991.95,28902.79,106812.24,140693.52,8,24,51,102,0,0,0,273.05,0,0,0,0,1,1,2026-07-14,185,1,0,
2026-07-16,FBA76716,X001NY6UL3,B0BLK8DNPD,,New,9,0,0,9,0,0,0,0,INR,0,0.0,0,0.0,0,0,1,1,Low traffic,499.0,0.0,499.0,0.0,Advertise listing,0,0.0,0,0,3273.19,0.1,4.05E-4,cubic meter,,0.003648,IN,,11983,,0,,117,499.0,0.0,0.0,422.88,422.88,0,0,9,0,0,0,0,5.89,0,0,0,0,0,0,2026-07-14,9,0,0,
2026-07-16,FBA79974,X002HC9D9L,B0GD8JSPB1,,New,34,0,0,34,0,0,0,0,INR,0,0.0,0,0.0,3,7,11,12,Low traffic,8999.0,0.0,8999.0,0.0,NoRestockExcessActionRequired,0,8100.0,52,0,772659.18,1.0,0.029329,cubic meter,,0.997193,IN,,81809,,0,19,36,8999.0,22455.1,51265.26,82194.07,89227.12,34,0,0,0,0,0,0,3312.7,0,0,0,0,0,0,2026-07-14,34,0,0,
2026-07-16,FBA79842,X002GM4N1Z,B0G4DNF8RZ,,New,1,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,2,7,8,10,,3299.0,0.0,3299.0,0.0,NoRestockExcessActionRequired,1,0.0,0,0,0.0,0.22,0.007376,cubic meter,,0.007376,IN,,918,,0,9,22,3299.0,5335.6,19058.48,21854.24,27445.76,0,0,1,0,0,0,0,5.34,16,16,0,0,0,2,2026-07-14,17,0,0,
2026-07-16,FBA80106,X002LI98CX,B0H2FCK54H,,New,1,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,2,3,3,3,,10799.0,0.0,10799.0,0.0,CreateShippingPlan,,,0,0,,3.0,0.100638,cubic meter,,0.100638,IN,,342,,0,1,4,10799.0,17879.66,26607.63,26607.63,26607.63,1,0,0,0,0,0,0,,0,0,0,0,0,0,2026-07-14,1,0,0,
