snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA79111,X001WRJRGB,B0BRKFP94K,,New,4,0,0,2,1,1,0,0,INR,0,0.0,0,0.0,0,0,0,4,Low traffic,3999.0,0.0,3999.0,0.0,NoRestockExcessActionRequired,4,0.0,0,0,0.0,0.41,0.002537,cubic meter,,0.010148,IN,,7786,,0,,13,3999.0,0.0,0.0,0.0,13555.92,0,0,2,1,0,1,0,7.16,0,0,0,0,0,0,2026-07-14,4,0,0,
2026-07-16,FBA76661,X001NSDR3D,B0987JXLGG,,New,1,0,0,0,0,0,0,1,INR,0,0.0,0,0.0,,,,,Low traffic,849.0,0.0,849.0,0.0,Create removal order,0,0.0,0,0,6015.85,0.0,0.005567,cubic meter,,0.005567,IN,,,,1,,,849.0,,,,,0,0,0,0,0,0,0,224.36,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA79267,X0028X1R1V,B0D2LD6BYJ,,New,20,0,0,20,0,0,0,0,INR,0,0.0,0,0.0,0,12,12,12,Low traffic,1039.0,0.0,999.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,26398.62,0.96,7.21E-4,cubic meter,,0.014421,IN,,52812,,0,6,21,999.0,0.0,10344.08,10344.08,10344.08,3,17,0,0,0,0,0,302.25,0,0,0,0,0,0,2026-07-14,20,0,0,
2026-07-16,FBA79452,X0028X4EST,B0DCGHVN81,,New,3,0,0,12,0,0,0,0,INR,0,0.0,0,0.0,5,50,57,58,,2099.0,0.0,2183.0,0.0,NoRestockExcessActionRequired,1,2099.0,2,0,79.87,2.05,0.017726,cubic meter,,0.053179,IN,,14111,,0,3,8,2183.0,9144.92,92216.98,104822.89,106637.29,12,0,0,0,0,0,0,857.15,36,0,36,0,9,1,2026-07-14,39,1,8,
2026-07-16,FBA79054,X00284K9YB,B087MMY6T8,,New,1,0,0,0,0,1,0,0,INR,0,0.0,0,0.0,0,0,0,0,Low traffic,9990.0,0.0,8990.0,0.0,Create removal order,0,0.0,0,0,28787.98,0.0,0.019475,cubic meter,,0.019475,IN,,7064,,1,,,8990.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,629.19,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA79993,X002MIAY8T,B0GN8WW6BC,,New,4,0,0,4,0,0,0,0,INR,0,0.0,0,0.0,4,5,5,5,,14499.0,0.0,13999.0,0.0,NoRestockExcessActionRequired,,,0,0,,1.25,0.054579,cubic meter,,0.218315,IN,,16677,,0,3,10,13999.0,47602.54,59614.4,59614.4,59614.4,4,0,0,0,0,0,0,,0,0,0,0,0,0,2026-07-14,4,0,0,
2026-07-16,FBA78960,X0029BAEI9,B0CBCB82MT,,New,1,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,0,0,0,0,Low conversion,1599.0,0.0,1599.0,0.0,Lower price,1,0.0,0,0,0.0,0.0,0.003006,cubic meter,,0.003006,IN,,336,,0,,,1599.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1.22,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA79567,X0028X4EUR,B0DNJS23HS,,New,53,0,0,49,4,0,0,0,INR,0,0.0,0,0.0,2,3,22,24,,6239.0,0.0,5999.0,0.0,CreateShippingPlan,2,6139.0,52,0,787601.2,0.53,0.027064,cubic meter,,1.434374,IN,,2858,,51,70,28,5999.0,10348.32,15447.47,111639.92,122011.11,48,1,0,0,4,0,0,27413.94,0,0,0,0,0,0,2026-07-14,53,0,0,
2026-07-16,FBA79479,X0028X8HMX,B0DB5YTQZV,,New,38,0,0,45,0,0,0,0,INR,0,0.0,0,0.0,5,6,6,10,,2199.0,0.0,1999.0,0.0,NoRestockExcessActionRequired,7,1949.0,11,0,5590.66,0.24,0.011111,cubic meter,,0.422225,IN,,1547,,0,25,49,2199.0,13919.5,16703.4,16703.4,23818.66,0,0,45,0,0,0,0,609.6,0,0,0,0,1,0,2026-07-14,38,1,0,
2026-07-16,FBK79784,X002DVERNX,B0FN4FHH5Y,,New,7,0,0,7,0,0,0,0,INR,0,0.0,0,0.0,0,3,3,3,Low traffic,5723.0,0.0,5723.0,0.0,Advertise listing,0,5406.8,20,0,105226.43,0.71,0.016174,cubic meter,,0.113218,IN,,63908,,0,22,73,5723.0,0.0,13980.51,13980.51,13980.51,0,7,0,0,0,0,0,513.29,10,10,0,0,0,0,2026-07-14,17,0,0,
