asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0D8445KJN,X0028X1WLB,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",PNQ3,IN,15.10,8.31,7.20,centimeter,0.22,kilograms,0.0009,cubic meter,1.0,0.0,0.0009,2026-05,2083.88,INR,1.8824,0.0
B0D8445KJN,X0028X1WLB,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",CJB1,IN,15.10,8.31,7.20,centimeter,0.22,kilograms,0.0009,cubic meter,3.0,0.0,0.0027,2026-05,2083.88,INR,5.6472,0.0
B0987JXLGG,X001NSDR3D,"NPET Cat Bowl WB10, 2L Double Tilted Raised Cat Bowls for Food and Water Set with 2 Replacement Filters, No-Spill Feeding Drinking Dish Suitable for Indoor Cats & Small Dogs (WB10)",BLR7,IN,31.50,18.80,9.40,centimeter,0.56,kilograms,0.0056,cubic meter,1.0,0.0,0.0056,2026-05,2083.88,INR,11.5953,0.0
B0D9KFZYG8,X002AMFVW1,"NexLev Vaporizer Steamer for Cough, Cold and Facial | Steam Inhaler for Cold and Cough with UV Sterilization | Nano Ionic Steam | Aroma Diffuser | 30 Sec Heating | Anti-Spill Design | FS-01",BLR8,IN,25.80,19.51,14.10,centimeter,0.91,kilograms,0.0071,cubic meter,1.61,0.0,0.0114,2026-05,2083.88,INR,23.81,0.0
B0D9KFZYG8,X002AMFVW1,"NexLev Vaporizer Steamer for Cough, Cold and Facial | Steam Inhaler for Cold and Cough with UV Sterilization | Nano Ionic Steam | Aroma Diffuser | 30 Sec Heating | Anti-Spill Design | FS-01",CJB1,IN,25.80,19.51,14.10,centimeter,0.91,kilograms,0.0071,cubic meter,0.55,0.0,0.0039,2026-05,2083.88,INR,8.1314,0.0
B0D9KFZYG8,X002AMFVW1,"NexLev Vaporizer Steamer for Cough, Cold and Facial | Steam Inhaler for Cold and Cough with UV Sterilization | Nano Ionic Steam | Aroma Diffuser | 30 Sec Heating | Anti-Spill Design | FS-01",BOM5,IN,25.80,19.51,14.10,centimeter,0.91,kilograms,0.0071,cubic meter,8.0,0.0,0.0568,2026-05,2083.88,INR,118.3014,0.0
B0D9KFZYG8,X002AMFVW1,"NexLev Vaporizer Steamer for Cough, Cold and Facial | Steam Inhaler for Cold and Cough with UV Sterilization | Nano Ionic Steam | Aroma Diffuser | 30 Sec Heating | Anti-Spill Design | FS-01",DEL4,IN,25.80,19.51,14.10,centimeter,0.91,kilograms,0.0071,cubic meter,16.0,0.0,0.1135,2026-05,2083.88,INR,236.6016,0.0
B0D9KFZYG8,X002AMFVW1,"NexLev Vaporizer Steamer for Cough, Cold and Facial | Steam Inhaler for Cold and Cough with UV Sterilization | Nano Ionic Steam | Aroma Diffuser | 30 Sec Heating | Anti-Spill Design | FS-01",DEL5,IN,25.80,19.51,14.10,centimeter,0.91,kilograms,0.0071,cubic meter,1.0,0.0,0.0071,2026-05,2083.88,INR,14.7876,0.0
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",CCX1,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,1.0,0.0,0.0064,2026-05,2083.88,INR,13.271,0.0
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",DEL4,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,3.0,0.0,0.0191,2026-05,2083.88,INR,39.8132,0.0
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",AMD2,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,0.32,0.0,0.0018,2026-05,2083.88,INR,3.8474,0.03
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",BOM5,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,1.0,0.0,0.0064,2026-05,2083.88,INR,13.2711,0.0
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",BOM7,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,1.0,0.0,0.0064,2026-05,2083.88,INR,13.271,0.0
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",DEL5,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,1.0,0.0,0.0064,2026-05,2083.88,INR,13.2711,0.0
