Date,FNSKU,ASIN,MSKU,Title,Disposition,Starting Warehouse Balance,In Transit Between Warehouses,Receipts,Customer Shipments,Customer Returns,Vendor Returns,Warehouse Transfer In/Out,Found,Lost,Damaged,Disposed,Other Events,Ending Warehouse Balance,Unknown Events,Location
07/17/2026,X001N02VPV,B0BFW59TRG,FBA76416,"White Mulberry L-Shape Corner Desk | Monitor Raising Shelf | Made of P2 Grade Melamine Particle Board & Sturdy Steel Leg | Suitable for Office, Home, Gaming, Streaming | Black |L(130+130)*B45*H77cm",SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,SDEG
07/17/2026,X001O7YYCV,B0BMQQQ7YD,FBA76765,"White Mulberry Motorized Height Adjustable Sit-Stand Desk | Electronic Height Adjustable | Motor & Memory Preset Controller | Office, Workstation or Home | Carbon Fibre | 120 * 60*H(75-118) cm",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLX1
07/17/2026,X001P8SYCF,B07MH7L6G8,FBI76419,"Coleshome Computer Desk 47 Modern Sturdy Office Desk Study Writing Desk For Home Office, Black""",CUSTOMER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SMAC
07/17/2026,X001Y5SHK3,B0CPT2YJX2,FBA79175,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|Black,CUSTOMER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SMAB
07/17/2026,X001Y5SHK3,B0CPT2YJX2,FBA79175,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|Black,SELLABLE,0,0,0,0,0,0,1,0,0,0,0,0,1,0,LMAA
07/17/2026,X001Y5UYX1,B0CPFS24ML,FBA79167,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",CARRIER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR7
07/17/2026,X001Y5UYX1,B0CPFS24ML,FBA79167,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",CARRIER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR8
07/17/2026,X001Y5UYX1,B0CPFS24ML,FBA79167,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",CARRIER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CCX1
07/17/2026,X001Y5UYX1,B0CPFS24ML,FBA79167,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",CARRIER_DAMAGED,2,0,0,0,0,0,0,0,0,0,0,0,2,0,DEL4
07/17/2026,X001Y5UYX1,B0CPFS24ML,FBA79167,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",CUSTOMER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR7
