week,brand,model,channel,sku,sku_status,units_sold,gross_sales,gmv,nlc,sales_nlc,category_l0,category_l1,category_l2
Week 7,Nexlev,ST-01,Amazon,FBA79679,MAPPED,15,67649.15254,67649.15254,3423,51345,Home & Kitchen,Kitchen Appliances,Stand Mixer
Week 7,Nexlev,ST-01 ST-01 Set of Hooks,Amazon,FBA79915,MAPPED,0,0,0,550,0,Home & Kitchen,ST-01 Set of Hooks,Spares
Week 7,Nexlev,SW-01,Amazon,FBA79349,MAPPED,29,25202.54237,25202.54237,409,11861,Home & Kitchen,Fabric Care,Mini Sewing Machine
Week 7,Nexlev,T-01,1p Sales,FBА79266,MAPPED,1,846.61,846.61,516,516,HPC,Trimmers & Body Groomers,Women Trimmer
Week 7,Nexlev,T-01,Amazon,FBА79266,MAPPED,0,0,0,516,0,HPC,Trimmers & Body Groomers,Women Trimmer
Week 7,Nexlev,T-02,1p Sales,FBA79267,MAPPED,3,2794.08,2794.08,606,1818,HPC,Trimmers & Body Groomers,Women Trimmer
Week 7,Nexlev,T-02,Amazon,FBA79267,MAPPED,1,1016.101695,1016.101695,606,606,HPC,Trimmers & Body Groomers,Women Trimmer
Week 7,Nexlev,TI-01,Amazon,FBA79466,MAPPED,0,0,0,1250,0,Home & Kitchen,Car Accessories,Tyre Inflators - Corded
Week 7,Nexlev,TI-02,Amazon,FBA79473,MAPPED,1,1270.338983,1270.338983,865,865,Home & Kitchen,Car Accessories,Tyre Inflators - Corded
Week 7,Nexlev,TIC-04,Amazon,FBA79475,MAPPED,0,0,0,1392,0,Home & Kitchen,Car Accessories,Tyre Inflators - Cordless
Week 7,Nexlev,TM-01,Amazon,FBA79467,MAPPED,0,0,0,483,0,HPC,Trimmers & Body Groomers,Men's Beard Trimmer
Week 7,Nexlev,TM-02,Amazon,FBA79481,MAPPED,0,0,0,1302,0,HPC,Trimmers & Body Groomers,Intimate Trimmer
