brand,model,sku,asin,return_units,returns_3p,returns_1p,sellable_units,unsellable_units,sellable_pct,return_pct,top_reason,last_return_at
Audio Array,AM-C30,FBA78203,B0C4YTNJG7,1,1,0,1,0,100.0,50.0,UNDELIVERABLE_REFUSED,2026-08-19T09:17:10+00:00
Audio Array,AM-C32,FBA78205,B0C539RBGL,2,2,0,1,1,50.0,33.3,DEFECTIVE,2026-09-01T04:07:12+00:00
Audio Array,AM-C33,FBA78420,B0C5957W3P,1,1,0,1,0,100.0,25.0,DEFECTIVE,2026-08-30T11:46:49+00:00
Audio Array,AM-C36,FBA78423,B0C598Q6PT,1,1,0,0,1,0.0,50.0,DEFECTIVE,2026-08-22T03:43:28+00:00
Audio Array,AM-C39,FBA78960,B0CBCB82MT,19,5,14,1,4,20.0,17.0,DEFECTIVE,2026-08-06T09:40:21+00:00
Tonor,TC310+,FBA79114,B0CCV74CL7,10,4,6,3,1,75.0,9.8,UNDELIVERABLE_REFUSED,2026-07-03T10:34:59+00:00
Nexlev,GS-02,FBA78980,B0CDPMX152,51,51,0,37,14,72.5,8.8,UNDELIVERABLE_REFUSED,2026-09-07T03:41:14+00:00
Nexlev,SC-01,FBA78981,B0CDPP45BM,185,185,0,118,67,63.8,12.3,UNDELIVERABLE_REFUSED,2026-09-06T17:38:20+00:00
Nexlev,NP-02,FBA78995,B0CDQ55W2M,1,1,0,0,1,0.0,50.0,QUALITY_UNACCEPTABLE,2026-08-30T07:00:28+00:00
Audio Array,AA-21,FBA78975,B0CF5TCQKL,28,11,17,8,3,72.7,7.6,UNDELIVERABLE_REFUSED,2026-09-01T11:34:24+00:00
Tonor,T20LP,FBA79585,B0CFKHCQ8W,6,6,0,4,2,66.7,16.7,UNDELIVERABLE_REFUSED,2026-09-05T12:46:12+00:00
Audio Array,AM-C3a,FBA79016,B0CH4R1V6S,5,2,3,1,1,50.0,20.8,DEFECTIVE,2026-08-13T08:36:50+00:00
Audio Array,AM-C43,FBA79011,B0CH4RNWJX,25,3,22,2,1,66.7,10.2,UNDELIVERABLE_REFUSED,2026-08-10T06:26:02+00:00
Audio Array,AI-06,FBA79008,B0CH4RT4P8,6,1,5,1,0,100.0,23.1,DEFECTIVE,2026-09-04T11:14:24+00:00
Audio Array,AM-C42,FBA79010,B0CH4T2BJD,1,1,0,1,0,100.0,2.9,UNDELIVERABLE_REFUSED,2026-06-21T04:26:00+00:00
Audio Array,AC-6XL,FBA77171,B0CH4VCD6R,15,4,11,4,0,100.0,2.2,UNDELIVERABLE_REFUSED,2026-08-09T04:58:20+00:00
Audio Array,AM-W45,FBA79005,B0CKHVHVQ1,37,7,30,6,1,85.7,3.7,QUALITY_UNACCEPTABLE,2026-08-16T11:43:25+00:00
Audio Array,AI-10,FBA79103,B0CM6NTWBP,20,3,17,3,0,100.0,10.5,UNDELIVERABLE_REFUSED,2026-08-25T11:59:41+00:00
Audio Array,AI-11,FBA79104,B0CM6NVLT9,33,3,30,3,0,100.0,9.3,DEFECTIVE,2026-08-19T11:09:13+00:00
Audio Array,AI-12,FBA79105,B0CM6WH4ZT,59,22,37,19,3,86.4,30.9,DEFECTIVE,2026-09-02T08:26:21+00:00
Audio Array,AM-W18,FBA79109,B0CM9HYVDM,9,3,6,1,2,33.3,6.1,NOT_COMPATIBLE,2026-07-23T06:32:59+00:00
Audio Array,AM-C44,FBA79106,B0CM9KJZWQ,2,2,0,1,1,50.0,4.3,QUALITY_UNACCEPTABLE,2026-08-30T07:55:31+00:00
Audio Array,AM-W16,FBA79108,B0CM9L1QZG,10,3,7,2,1,66.7,16.4,UNDELIVERABLE_REFUSED,2026-08-10T11:37:34+00:00
Audio Array,AM-W17,FBA79107,B0CM9P5CCK,11,1,10,1,0,100.0,6.7,UNDELIVERABLE_REFUSED,2026-08-13T03:53:29+00:00
White Mulberry,WM-GD07-CB,FBA79167,B0CPFS24ML,134,134,0,84,50,62.7,32.1,UNDELIVERABLE_REFUSED,2026-09-06T12:08:22+00:00
White Mulberry,WM-SE08-CF,FBA79179,B0CPT3Q25C,6,6,0,2,4,33.3,27.3,UNDELIVERABLE_REFUSED,2026-07-15T06:26:59+00:00
Tonor,TD310+,FBA79696,B0CQX3VB1R,12,6,6,3,3,50.0,16.2,UNDELIVERABLE_REFUSED,2026-09-02T05:41:42+00:00
Tonor,TD310,FBA79697,B0CQX4K9P5,20,3,17,2,1,66.7,9.8,UNDELIVERABLE_REFUSED,2026-08-16T07:56:05+00:00
Nexlev,GS-04,FBA79229,B0CQX9ZZMH,2,2,0,0,2,0.0,40.0,UNDELIVERABLE_REFUSED,2026-08-19T06:41:49+00:00
Tonor,TM310,FBA79577,B0CSCT63BL,2,2,0,0,2,0.0,7.1,DEFECTIVE,2026-07-11T11:16:57+00:00
Nexlev,DF-01-BK,FBA79174,B0CW1JJP9S,1,1,0,0,1,0.0,,EXTRA_ITEM,2026-07-01T10:02:10+00:00
Nexlev,MR-01,FBA79263,B0CYSLCRQS,158,158,0,94,64,59.5,17.6,DEFECTIVE,2026-09-05T16:30:57+00:00
Nexlev,T-02,FBA79267,B0D2LD6BYJ,11,11,0,9,2,81.8,17.7,DEFECTIVE,2026-08-31T08:19:55+00:00
Nexlev,HS-01,FBA79272,B0D2LFMY48,1,1,0,0,1,0.0,3.0,UNDELIVERABLE_REFUSED,2026-06-19T09:00:03+00:00
Nexlev,CR-01,FBA79265,B0D2LHNS9B,8,8,0,6,2,75.0,25.0,UNDELIVERABLE_REFUSED,2026-07-26T08:29:20+00:00
Nexlev,SM-01,FBA79276,B0D2LJSQXZ,24,24,0,18,6,75.0,27.3,UNDELIVERABLE_REFUSED,2026-08-29T06:44:08+00:00
Nexlev,HS-02,FBA79273,B0D2LKB4BJ,2,2,0,2,0,100.0,9.5,DEFECTIVE,2026-08-31T06:40:04+00:00
Nexlev,ET-01-BK,FBA79373,B0D2P5TGWK,7,7,0,7,0,100.0,8.4,UNDELIVERABLE_REFUSED,2026-08-29T08:14:24+00:00
Nexlev,ET-02-GN,FBA79374,B0D2P7WLJB,5,5,0,5,0,100.0,5.8,UNDELIVERABLE_REFUSED,2026-08-09T15:26:16+00:00
Nexlev,GS-05,FBA79268,B0D383WQPB,11,11,0,9,2,81.8,5.4,UNDELIVERABLE_REFUSED,2026-09-01T05:32:24+00:00
Audio Array,AM-C46,FBA79380,B0D3M1B4Z8,14,1,13,1,0,100.0,5.2,UNDELIVERABLE_REFUSED,2026-08-18T12:29:56+00:00
Audio Array,AA-19BL,FBA79355,B0D3M86SH1,6,4,2,3,1,75.0,14.0,DAMAGED_BY_FC,2026-08-25T05:03:17+00:00
Nexlev,HM-01,FBA79332,B0D63FKYZ5,1,1,0,1,0,100.0,0.6,UNDELIVERABLE_UNKNOWN,2026-08-18T04:54:04+00:00
Nexlev,SC-03,FBA79277,B0D672NXC8,20,20,0,7,13,35.0,37.0,UNDELIVERABLE_REFUSED,2026-09-03T03:46:41+00:00
Nexlev,EA-01,FBP79350,B0D67727VG,30,30,0,20,10,66.7,10.1,UNDELIVERABLE_REFUSED,2026-09-03T08:29:29+00:00
Nexlev,HD-02,FBA79348,B0D81DLSFT,1,1,0,1,0,100.0,1.2,UNDELIVERABLE_UNKNOWN,2026-09-04T15:06:40+00:00
Nexlev,ETC-05-PI,FBK79347,B0D842173P,1,1,0,1,0,100.0,16.7,UNDELIVERABLE_REFUSED,2026-08-12T08:05:37+00:00
Nexlev,LR-01,FBA79279,B0D8445KJN,2,2,0,2,0,100.0,1.0,QUALITY_UNACCEPTABLE,2026-09-06T04:39:22+00:00
Nexlev,LR-02,FBA79280,B0D845B2DG,9,9,0,9,0,100.0,9.0,UNDELIVERABLE_REFUSED,2026-09-06T06:25:16+00:00
Nexlev,SW-01,FBA79349,B0D9KDQCCM,56,56,0,27,29,48.2,53.8,QUALITY_UNACCEPTABLE,2026-09-05T15:52:12+00:00
Nexlev,HSB-03,FBA79405,B0D9KFP4MG,19,19,0,16,3,84.2,10.5,UNDELIVERABLE_REFUSED,2026-09-07T04:27:41+00:00
Nexlev,LE-03,FBA79443,B0D9KFQG8Q,4,4,0,4,0,100.0,40.0,UNDELIVERABLE_REFUSED,2026-08-30T09:15:59+00:00
Nexlev,FS-01,FBA79404,B0D9KFZYG8,5,5,0,3,2,60.0,2.2,UNDELIVERABLE_REFUSED,2026-07-27T05:34:43+00:00
White Mulberry,WM-GS1M-BK,FBA79476,B0DB5VG39T,9,9,0,6,3,66.7,1.3,UNDELIVERABLE_REFUSED,2026-08-24T06:15:41+00:00
White Mulberry,WM-GS2M-BK,FBA79477,B0DB5VVPSB,7,7,0,5,2,71.4,5.3,MISSING_PARTS,2026-08-25T03:56:19+00:00
White Mulberry,WM-HA1M-BK,FBA79478,B0DB5W4TCP,1,1,0,0,1,0.0,1.7,NEVER_ARRIVED,2026-09-06T06:25:08+00:00
White Mulberry,WM-HA2M-BK,FBA79479,B0DB5YTQZV,7,7,0,1,6,14.3,3.2,UNDELIVERABLE_REFUSED,2026-09-06T07:50:46+00:00
Nexlev,LE-02,FBA79440,B0DCGHKRXX,5,5,0,4,1,80.0,9.1,UNDELIVERABLE_REFUSED,2026-08-25T08:55:18+00:00
Nexlev,VC-01,FBA79452,B0DCGHVN81,131,131,0,60,71,45.8,17.2,UNDELIVERABLE_REFUSED,2026-09-06T20:43:54+00:00
Nexlev,HSB-04,FBA79406,B0DCK3N2JJ,44,44,0,34,10,77.3,29.5,UNDELIVERABLE_REFUSED,2026-09-06T22:59:55+00:00
Nexlev,LE-04,FBA79469,B0DCK4DR1B,5,5,0,5,0,100.0,22.7,UNDELIVERABLE_REFUSED,2026-08-06T04:29:48+00:00
Nexlev,VC-02,FBA79463,B0DCK56Q85,9,9,0,3,6,33.3,9.6,UNDELIVERABLE_REFUSED,2026-09-05T11:55:30+00:00
Nexlev,MR-02,FBA79439,B0DCK7ZH5P,69,69,0,47,22,68.1,13.2,UNDELIVERABLE_REFUSED,2026-09-07T03:51:42+00:00
Nexlev,VC-03,FBA79480,B0DDC3GVZW,2,2,0,2,0,100.0,7.4,QUALITY_UNACCEPTABLE,2026-08-26T11:56:44+00:00
Nexlev,CM-02-PR,FBA79472,B0DFCDZWND,6,6,0,4,2,66.7,8.2,UNDELIVERABLE_UNKNOWN,2026-08-11T11:38:19+00:00
Nexlev,KE-01,FBA79488,B0DFCG2VGS,6,6,0,3,3,50.0,8.2,DEFECTIVE,2026-08-10T12:34:56+00:00
Nexlev,KE-02,FBA79489,B0DFD123P5,3,3,0,2,1,66.7,9.1,DEFECTIVE,2026-06-24T05:31:15+00:00
Audio Array,AM-W35,FBA79448,B0DFMKY4TT,2,1,1,1,0,100.0,11.1,NEVER_ARRIVED,2026-07-01T06:36:02+00:00
Audio Array,AM-W32,FBA79445,B0DFMLS8JG,5,5,0,4,1,80.0,7.8,NO_REASON_GIVEN,2026-08-05T10:56:00+00:00
Audio Array,AM-W33,FBA79446,B0DFMMTWLY,6,3,3,3,0,100.0,8.7,DEFECTIVE,2026-08-22T08:02:20+00:00
Audio Array,AM-W36,FBA79449,B0DFMNGFTD,2,1,1,1,0,100.0,4.7,QUALITY_UNACCEPTABLE,2026-07-30T04:19:58+00:00
Nexlev,TM-02,FBA79481,B0DFMRG2K4,1,1,0,1,0,100.0,25.0,UNDELIVERABLE_REFUSED,2026-06-19T07:05:52+00:00
Nexlev,MR-01 HEPA Filter,FBA79436,B0DGTGKPJR,1,1,0,1,0,100.0,10.0,UNDELIVERABLE_REFUSED,2026-08-23T09:27:07+00:00
Nexlev,TIC-03,FBA79474,B0DJFH4K8B,3,3,0,3,0,100.0,10.7,DEFECTIVE,2026-08-07T10:43:54+00:00
Nexlev,TI-02,FBA79473,B0DJFH6RTL,4,4,0,2,2,50.0,8.0,UNAUTHORIZED_PURCHASE,2026-08-02T10:01:00+00:00
Nexlev,TIC-04,FBA79475,B0DJFJZMC6,1,1,0,1,0,100.0,100.0,UNDELIVERABLE_REFUSED,2026-06-13T07:49:07+00:00
Nexlev,TM-01,FBA79467,B0DK9LYT4P,4,4,0,2,2,50.0,3.3,SWITCHEROO,2026-08-27T09:11:11+00:00
Nexlev,VC-05,FBA79566,B0DKJSCLBD,1,1,0,0,1,0.0,1.4,SWITCHEROO,2026-06-29T04:38:20+00:00
Nexlev,BR-01,FBA79570,B0DKJXRXKM,18,18,0,9,9,50.0,20.9,DEFECTIVE,2026-08-14T08:42:58+00:00
Nexlev,EA-02,FBA79573,B0DKK15YNJ,23,23,0,20,3,87.0,14.6,UNDELIVERABLE_REFUSED,2026-08-20T09:11:48+00:00
Nexlev,CFM-01,FBA79590,B0DM6BB3VT,34,34,0,22,12,64.7,10.7,UNDELIVERABLE_REFUSED,2026-08-02T05:11:27+00:00
Nexlev,MG-01,FBA79596,B0DMT19RWC,1,1,0,1,0,100.0,8.3,QUALITY_UNACCEPTABLE,2026-08-10T12:41:09+00:00
Nexlev,CF-01,FBA79484,B0DNJF1BLS,1,1,0,0,1,0.0,16.7,DAMAGED_BY_CARRIER,2026-07-27T11:28:39+00:00
Nexlev,SC-04,FBA79567,B0DNJS23HS,194,194,0,100,94,51.5,20.9,UNDELIVERABLE_REFUSED,2026-09-07T04:29:15+00:00
White Mulberry,MS1ML,FBA79613,B0DP2VVRND,11,11,0,5,6,45.5,2.0,UNDELIVERABLE_REFUSED,2026-08-31T20:04:08+00:00
White Mulberry,WM1ML,FBA79612,B0DP2WC5VW,11,11,0,7,4,63.6,13.9,UNDELIVERABLE_REFUSED,2026-08-22T03:31:31+00:00
White Mulberry,VLMS1ML,FBA79615,B0DP2Z5DQ9,11,11,0,7,4,63.6,15.9,UNDELIVERABLE_REFUSED,2026-08-27T11:56:51+00:00
White Mulberry,MS2ML,FBA79614,B0DP313R77,1,1,0,0,1,0.0,25.0,NEVER_ARRIVED,2026-07-15T04:08:20+00:00
White Mulberry,HD1ML,FBA79616,B0DP3194QN,1,1,0,1,0,100.0,6.7,UNDELIVERABLE_REFUSED,2026-07-28T13:36:01+00:00
White Mulberry,HDWF1ML,FBA79617,B0DP32F346,2,2,0,0,2,0.0,1.0,QUALITY_UNACCEPTABLE,2026-09-01T18:22:36+00:00
White Mulberry,WM-MDL-WH,FBA79658,B0DQ1PKNSP,1,1,0,0,1,0.0,,SWITCHEROO,2026-06-15T08:53:22+00:00
White Mulberry,WM-MODL-WH,FBA79662,B0DQ4YWSMC,5,5,0,1,4,20.0,33.3,DEFECTIVE,2026-07-03T14:02:46+00:00
White Mulberry,WM-MODL-BK,FBA79661,B0DQ51R95T,1,1,0,0,1,0.0,50.0,UNDELIVERABLE_REFUSED,2026-07-25T05:35:32+00:00
Nexlev,V-01 RG,FBK79271,B0DQ8W1RBV,7,7,0,3,4,42.9,4.0,UNDELIVERABLE_REFUSED,2026-08-27T07:51:47+00:00
Nexlev,V-03,FBA79493,B0DQCWRG3H,184,184,0,159,25,86.4,15.8,UNDELIVERABLE_REFUSED,2026-09-07T05:07:38+00:00
White Mulberry,WM-LODN-WH,FBA79667,B0DQPK7MFH,1,1,0,0,1,0.0,,SWITCHEROO,2026-06-11T10:43:03+00:00
Audio Array,AA-26,FBA79694,B0DT6T6N6B,56,11,45,8,3,72.7,6.0,NOT_COMPATIBLE,2026-08-22T12:27:46+00:00
Nexlev,V-02,FBA79492,B0DT6Y7KJM,3,3,0,1,2,33.3,21.4,UNDELIVERABLE_REFUSED,2026-08-07T06:28:04+00:00
Nexlev,SPM-01,FBA79699,B0DTYDTKN8,7,7,0,4,3,57.1,53.8,UNDELIVERABLE_REFUSED,2026-08-25T08:43:58+00:00
Nexlev,MGS-02,FBA79686,B0DV94R4QD,2,2,0,1,1,50.0,20.0,UNDELIVERABLE_UNKNOWN,2026-08-24T03:27:18+00:00
Nexlev,AP-03,FBA79692,B0DVC58QPZ,2,2,0,0,2,0.0,8.7,QUALITY_UNACCEPTABLE,2026-07-19T06:51:35+00:00
Nexlev,ST-01,FBA79679,B0DVC7VJP1,73,73,0,46,27,63.0,23.5,UNDELIVERABLE_REFUSED,2026-08-21T12:26:28+00:00
Nexlev,HU-02,FBA79682,B0DVC8NYY2,12,12,0,8,4,66.7,20.7,DEFECTIVE,2026-08-11T05:09:59+00:00
Nexlev,CFM-02,FBA79689,B0DVSZ2VVJ,8,8,0,2,6,25.0,42.1,UNDELIVERABLE_REFUSED,2026-09-04T04:15:13+00:00
Audio Array,AM-S1,FBA79482,B0DXFPM4N2,39,9,30,3,6,33.3,7.3,UNDELIVERABLE_REFUSED,2026-09-07T03:58:57+00:00
Nexlev,KM-01,FBK79591,B0F29SZCVF,3,3,0,2,1,66.7,16.7,UNDELIVERABLE_UNKNOWN,2026-09-04T10:49:02+00:00
Nexlev,SPM-01 Set of 2 Mops,FBA79717,B0F2MZ9BJS,2,2,0,2,0,100.0,28.6,UNDELIVERABLE_UNKNOWN,2026-07-12T07:41:01+00:00
Nexlev,LR-02 Set of 2 blades,FBA79607,B0F2N11VTN,1,1,0,0,1,0.0,33.3,NOT_COMPATIBLE,2026-07-09T05:29:45+00:00
Nexlev,SC-04 Set of 2 Mops,FBK79714,B0F2N1HTBT,1,1,0,0,1,0.0,11.1,NOT_COMPATIBLE,2026-08-16T10:59:01+00:00
Nexlev,MR-02 HEPA Filter,FBA79721,B0F2N4N83Y,12,12,0,2,10,16.7,54.5,UNDELIVERABLE_REFUSED,2026-08-13T05:12:11+00:00
Nexlev,SC-05,FBA79652,B0F43P6D23,310,310,0,130,180,41.9,18.7,UNDELIVERABLE_REFUSED,2026-09-06T05:00:06+00:00
Nexlev,VC-03 HEPA,FBA79775,B0F67775SH,4,4,0,1,3,25.0,36.4,DEFECTIVE,2026-09-02T12:20:55+00:00
Nexlev,SC-01 Set of Spares,FBA79771,B0F678L8YT,4,4,0,2,2,50.0,20.0,DEFECTIVE,2026-09-01T05:00:55+00:00
Nexlev,AP-03 HEPA,FBA79778,B0F67BW7SF,1,1,0,0,1,0.0,11.1,DEFECTIVE,2026-07-09T14:37:51+00:00
Nexlev,VC-01 HEPA,FBA79773,B0F74DJYG6,28,28,0,5,23,17.9,59.6,NOT_COMPATIBLE,2026-09-02T06:48:00+00:00
Audio Array,SB-01,FBA79708,B0FFB6YJM1,67,24,43,12,12,50.0,14.6,QUALITY_UNACCEPTABLE,2026-09-05T03:17:13+00:00
Audio Array,AH-50,FBA79813,B0FG88HVQ8,65,17,48,17,0,100.0,5.5,UNDELIVERABLE_REFUSED,2026-09-04T10:09:28+00:00
White Mulberry,TVLF1ML,FBA79790,B0FHVWHQHR,25,25,0,17,8,68.0,23.6,UNDELIVERABLE_REFUSED,2026-09-06T03:51:38+00:00
Nexlev,ETC-08-BL,FBA79707,B0FJ1ZB4G9,2,2,0,2,0,100.0,4.9,UNDELIVERABLE_REFUSED,2026-08-06T22:04:55+00:00
Audio Array,GB-02 (AM-C43 + AI-11),FBA79825,B0FJ2DT13L,4,2,2,0,2,0.0,6.5,NO_REASON_GIVEN,2026-07-29T12:36:06+00:00
Audio Array,KB-01 (AM-W32 + AI-12),FBA79822,B0FJ2J6MTF,2,2,0,2,0,100.0,25.0,DEFECTIVE,2026-07-04T22:23:41+00:00
Audio Array,GB-05 (AM-C43 + AI-06),FBA79832,B0FJ8S53GW,2,1,1,1,0,100.0,33.3,QUALITY_UNACCEPTABLE,2026-06-14T07:58:12+00:00
Nexlev,KE-03,FBA79809,B0FJ8SFNRH,1,1,0,0,1,0.0,16.7,NOT_AS_DESCRIBED,2026-06-19T04:43:13+00:00
Audio Array,GB-03 (AI-12 + AM-C43),FBA79830,B0FJ8TSQK1,55,18,37,13,5,72.2,17.6,UNDELIVERABLE_REFUSED,2026-09-06T11:42:14+00:00
Nexlev,ETC-07-WH,FBA79673,B0FJG5PFGQ,4,4,0,4,0,100.0,7.7,UNDELIVERABLE_REFUSED,2026-09-06T08:14:33+00:00
Audio Array,AM-C47,FBA80141,B0FJS57732,18,18,0,12,6,66.7,14.8,DEFECTIVE,2026-09-06T11:16:16+00:00
Audio Array,SB-01,FBK79708,B0FJS7JZ4V,8,8,0,6,2,75.0,88.9,DEFECTIVE,2026-08-14T10:23:58+00:00
Audio Array,AM-C42,FBK79010,B0FLYJFC22,2,2,0,1,1,50.0,50.0,DAMAGED_BY_CARRIER,2026-07-14T06:28:39+00:00
Nexlev,SC-04 Spare Set,FBA79843,B0FMF1D9NV,4,4,0,1,3,25.0,12.5,DEFECTIVE,2026-08-30T05:15:38+00:00
White Mulberry,TVCT1ML,FBK79788,B0FN4D3C89,14,14,0,5,9,35.7,25.0,DEFECTIVE,2026-08-16T09:26:34+00:00
White Mulberry,TVMF1ML,FBK79789,B0FN4DSQ6P,164,164,0,114,50,69.5,29.3,UNDELIVERABLE_REFUSED,2026-09-05T09:15:43+00:00
White Mulberry,POSS-01,FBK79786,B0FN4FPJ83,9,9,0,5,4,55.6,15.3,DEFECTIVE,2026-07-29T05:06:32+00:00
White Mulberry,TVCF1ML,FBK79787,B0FN4GQ9HT,33,33,0,21,12,63.6,15.9,UNDELIVERABLE_REFUSED,2026-09-06T07:10:33+00:00
White Mulberry,TVFM1ML,FBK79791,B0FN4HDM6Z,17,17,0,4,13,23.5,20.7,NOT_COMPATIBLE,2026-08-30T03:32:20+00:00
White Mulberry,HDMSP1ML,FBK79792,B0FN4JG97R,5,5,0,3,2,60.0,29.4,UNDELIVERABLE_REFUSED,2026-08-05T14:19:48+00:00
Audio Array,UB-02 (AM-S1 + AA-21),FBA79845,B0FN7B3KWS,4,1,3,0,1,0.0,18.2,UNDELIVERABLE_UNKNOWN,2026-07-15T11:13:01+00:00
Audio Array,AM-C11X Pro,FBA79846,B0FN7C25VS,1,1,0,1,0,100.0,33.3,UNDELIVERABLE_UNKNOWN,2026-08-19T04:55:21+00:00
White Mulberry,HDGS1ML,FBK79793,B0FN81FD8M,2,2,0,1,1,50.0,40.0,UNDELIVERABLE_REFUSED,2026-08-06T10:50:32+00:00
Nexlev,CFM-03,FBA79849,B0FPGDVVCX,13,13,0,11,2,84.6,14.4,UNDELIVERABLE_UNKNOWN,2026-08-23T04:30:17+00:00
Audio Array,AM-W22,FBA79816,B0FPR962YS,4,1,3,1,0,100.0,6.5,UNDELIVERABLE_UNKNOWN,2026-08-16T06:11:03+00:00
Audio Array,AH-60-BL,FBA79841,B0FQBTRM28,9,2,7,0,2,0.0,6.1,UNDELIVERABLE_REFUSED,2026-07-30T09:18:35+00:00
