brand,sku,asin,model,nlc,gross_margin,gross_margin_pct,net_margin,net_margin_pct
Audio Array,FBA78961,B0CBCB9S14,AM-C40,,309.05,8.83,-868.67,-24.83
Audio Array,FBA79010,B0CH4T2BJD,AM-C42,,1014.53,37.59,93.81,3.48
Audio Array,FBA79465,B0DFMQCGT1,AM-W21,,1094.22,26.69,-121.5,-2.96
Audio Array,FBA75678,B0B4G8PH2P,AA-01,,782.74,37.29,30.02,1.43
Audio Array,FBA79708,B0FFB6YJM1,SB-01,,0.0,0.0,-166.0,0.0
Audio Array,FBA79840,B0FQBWV1ST,AH-60 RD,,766.87,38.36,41.15,2.06
Audio Array,FBA78925,B0CBC7QMNV,AM-C11X,,1253.27,33.88,56.55,1.53
Audio Array,FBA79903,B0FR5DLXH9,AA-25M,,422.57,52.89,157.79,19.75
Audio Array,FBA76730,B0BLKB6FRR,AM-C27,,576.41,38.45,88.69,5.92
Audio Array,FBA79064,B0CJR76Y7G,AA-25,,400.43,50.12,136.66,17.1
Audio Array,FBA75683,B0B4G94VP3,AA-03,,262.05,54.71,63.09,13.17
Audio Array,FBA79820,B0FQJWWDVK,AC-3XL,,227.46,57.01,51.7,12.96
Audio Array,FBA78206,B0C4YSV3XL,AM-W15,,2521.29,16.82,-1803.91,-12.03
Audio Array,FBA75686,B0B4G89VQJ,AM-W10,,822.91,13.72,-924.81,-15.42
Audio Array,FBA79833,B0FJ8PZ9H7,PB-04 (AI-04 Red + AM-C44 x 2),,4799.33,35.55,755.61,5.6
Audio Array,FBA79447,B0DFMLXD9S,AM-W34,,1216.27,32.02,-12.45,-0.33
Audio Array,FBA79909,B0FVM17Q4W,AM-W20,,-1837.21,0.0,-1947.21,0.0
Audio Array,FBA75691,B0B4G5JG4P,AM-W14,,3164.48,45.21,1131.76,16.17
Audio Array,FBA76742,B0BLKBJ5HN,AM-K1,,1950.7,20.54,-874.02,-9.2
Audio Array,FBA79832,B0FJ8S53GW,GB-05 (AM-C43 + AI-06),,1486.96,24.79,-275.76,-4.6
Audio Array,FBA76721,B0BLKB55BM,AM-C18,,18.45,0.68,-805.27,-29.84
Audio Array,FBA79846,B0FN7C25VS,AM-C11X Pro,,1709.89,38.01,367.17,8.16
Audio Array,FBA79444,B0DFMLQBMC,AM-W20,,789.07,25.46,-146.65,-4.73
Audio Array,FBA76716,B0BLK8DNPD,AM-C13,,634.75,84.75,364.22,48.63
Audio Array,FBA79848,-,AM-S2,,2749.9,39.29,790.18,11.29
Audio Array,FBK79009,B0FLYHJ6DK,AM-C41,,-885.4,0.0,-1012.4,0.0
Audio Array,FBA76728,B0BLNCP74M,AM-C25,,568.03,20.29,-381.69,-13.64
Audio Array,FBA78424,B0C55MY66L,AM-C37,,902.27,21.49,-401.45,-9.56
Audio Array,FBK79010,B0FLYJFC22,AM-C42,,-1272.76,0.0,-1437.76,0.0
Audio Array,FBA78204,B0C4YT43Z3,AM-C31,,68.73,1.72,-1118.99,-27.98
Audio Array,FBA76722,B0BLKDC4PP,AM-C19,,11.81,0.72,-517.91,-31.41
Audio Array,FBA78986,B0CF5WXWFH,AB-01,,1486.96,24.79,-265.76,-4.43
Audio Array,FBA79722,B0F2HYY7JF,AM-W21,,-2379.51,0.0,-2447.51,0.0
Audio Array,FBA78205,B0C539RBGL,AM-C32,,526.93,15.97,-464.79,-14.09
Audio Array,FBA78203,B0C4YTNJG7,AM-C30,,28.89,0.88,-962.83,-29.19
Audio Array,FBA76744,B0BLK7VQ2N,AM-K3,,2092.53,16.74,-1490.19,-11.92
Audio Array,FBK79708,B0FJS7JZ4V,SB-01,,0.0,0.0,-166.0,0.0
Audio Array,FBA77011,B0BPMN89NG,AM-C29,,769.15,17.1,-558.57,-12.42
Audio Array,FBA76743,B0BLK8PXNY,AM-K2,,1570.77,14.96,-1446.95,-13.78
Audio Array,FBA79070,B0CLH7G5WH,AI-02 2x2| Metallic Red,,2319.66,35.69,431.94,6.65
Audio Array,FBA78420,B0C5957W3P,AM-C33,,-3.22,-0.64,-148.5,-29.76
Audio Array,FBA75682,B0B4FVV78V,AM-C8,,1303.55,26.08,-164.17,-3.28
Audio Array,FBA75685,B0B4FXDHXW,AM-C9,,935.16,20.79,-392.56,-8.73
Audio Array,FBA78425,B0C55QXL83,AM-C38,,551.9,27.61,-75.82,-3.79
Audio Array,FBA76726,B0BLKD4815,AM-C23,,592.06,24.68,-147.66,-6.15
Audio Array,FBA76739,B0BLRK37TB,AA-12,,995.71,36.89,166.99,6.19
Audio Array,FBA79014,B0CH4WFQF6,AI-09,,1698.45,30.89,90.73,1.65
Audio Array,FBA76718,B0BLKD8FVG,AM-C15,,464.47,23.24,-163.25,-8.17
Audio Array,FBA76734,B0BLKHVCDX,AA-07,,978.16,44.48,284.44,12.93
Audio Array,FBA78419,B0C55M2GBN,AM-A1,,258.77,11.77,-424.95,-19.32
Audio Array,FBA78972,B0CF5T89FT,AA-18,,1695.97,45.85,587.25,15.88
Audio Array,FBA78423,B0C598Q6PT,AM-C36,,202.8,29.01,-22.48,-3.22
Audio Array,FBA76715,B0BLK31PYH,AM-C12,,291.5,32.42,21.22,2.36
Audio Array,FBA78971,B0CF5TDLFH,AA-17,,1356.99,41.13,355.27,10.77
Audio Array,FBA76735,B0BLKGPL4X,AA-08,,682.82,28.46,-66.9,-2.79
Audio Array,FBA76732,B0BLKCB2JY,AI-01,,-2367.32,0.0,-2435.32,0.0
Audio Array,FBA76720,B0BLKCWZQD,AM-C17,,39.21,9.23,-120.16,-28.27
Audio Array,FBA76725,B0BLKCSJ7Z,AM-C22,,550.95,36.75,63.23,4.22
Audio Array,FBA78422,B0C598MNMC,AM-C35,,195.52,32.64,-1.26,-0.21
Audio Array,FBA79013,B0CH4TDGPG,AI-08,,1040.48,40.03,244.76,9.42
Audio Array,FBA79012,B0CH4THGGM,AI-07,,1040.48,40.03,244.76,9.42
Audio Array,FBA78421,B0C594FZLM,AM-C34,,97.62,25.76,-51.86,-13.68
Audio Array,FBA76727,B0BLKCDRNB,AM-C24,,605.34,25.23,-134.38,-5.6
Audio Array,FBA76737,B0C59G1C4N,AA-10,,774.2,24.2,-199.52,-6.24
Audio Array,FBA76717,B0BLK6P24G,AM-C14,,596.49,35.11,52.77,3.11
Audio Array,FBA76738,B0BLRGCNRG,AA-11,,923.61,36.96,150.89,6.04
Audio Array,FBA76729,B0BLNDQ757,AM-C26,,194.26,9.04,-480.46,-22.36
Audio Array,FBA77010,B0BPMBMN3S,AI-04 Black,,1311.67,32.8,123.95,3.1
Audio Array,FBAM75673,B0DFTVZPM8,AM-C1,,-1217.42,0.0,-1290.42,0.0
Audio Array,FBA76719,B0BLKCXQRT,AM-C16,,134.81,30.02,-29.73,-6.62
Audio Array,FBA76724,B0BLNC5D8L,AM-C21,,852.78,34.12,85.06,3.4
Audio Array,FBA76733,B0BLKCJXZR,AI-02,,2743.39,39.2,715.67,10.23
Audio Array,FBA76736,B0BLS63XCL,AA-09,,925.67,30.87,12.95,0.43
Audio Array,FBA76740,B0BLRKFBBP,AA-13,,784.95,37.4,124.23,5.92
Audio Array,FBA76741,B0BLS2HJ68,AA-14,,857.05,37.28,135.33,5.89
Audio Array,FBA78207,B0C53CQV5Z,AA-15,,1728.86,43.23,531.14,13.28
Audio Array,FBA78970,B0CF5T1LFR,AA-16,,2019.78,44.89,760.06,16.89
Audio Array,FBA78977,B0CF5TVDRT,AA-23,,2685.41,41.32,865.69,13.32
Audio Array,FBA78978,B0CF5PCL34,AA-24,,2298.05,35.36,478.33,7.36
Audio Array,FBA79004,B0CF9BY345,AI-05,,4360.23,43.61,1487.51,14.88
Audio Array,FBA79180,B0CPXVV5XN,AB-02 (AI-04 Red + AM-C2),,0.0,0.0,0.0,0.0
Audio Array,FBA79181,B0CPXXJM6C,AB-03 (AM-C11+ AI-04 + AA-05),,0.0,0.0,0.0,0.0
Audio Array,FBA79182,B0CPXXYY6H,AB-04 (2xAM-C2 + AI-04 Red),,0.0,0.0,0.0,0.0
Audio Array,FBA79183,B0CPXWXCBS,AB-05 (2xAM-C11+AI-04Red+2xAA-05),,0.0,0.0,0.0,0.0
Audio Array,FBA79842,B0G4DNF8RZ,AM-C48,,1305.13,37.3,325.41,9.3
Audio Array,FBA79821,B0FJ2JJZL3,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",,6917.19,37.39,1643.47,8.88
Audio Array,FBA79822,B0FJ2J6MTF,KB-01 (AM-W32 + AI-12),,1823.73,36.48,192.01,3.84
Audio Array,FBA79823,B0FJ2HZCVN,PB-01 (AM-C11 + AI-04),,3088.6,34.32,303.88,3.38
Audio Array,FBA79824,B0FJ2K95XT,GB-01 (AM-C43 +AI-10),,1856.93,37.15,374.21,7.49
Audio Array,FBA79826,B0FJ2LQT7K,PB-02 (AI-04 Red + AM-C11 + AA-05),,3714.7,37.15,831.98,8.32
Audio Array,FBA79830,B0FJ8TSQK1,GB-03 (AI-12 + AM-C43),,1299.94,36.94,231.62,6.58
Audio Array,FBA79831,B0FJ8W5Y9Q,GB-04 (AM-C45 + AI-06),,2573.16,32.17,250.44,3.13
Audio Array,FBA79834,B0FJ8T4WXM,PB-05 (AA-05 + AM-C11 + AI-04),,3714.7,37.15,831.98,8.32
Audio Array,FBA79835,B0FJ8TWCQZ,PB-06 (AA-05 + AM-C44 + AI-04),,3512.32,36.98,769.6,8.1
Audio Array,FBA79836,B0FJ8Z1W81,PB-07 (AA-05 + AM-C45 + AI-04),,2849.85,35.63,527.13,6.59
Audio Array,FBA79837,B0FJ8V2LZM,AI-06 + AM-C45,,2149.43,28.66,49.71,0.66
Audio Array,FBA79845,B0FN7B3KWS,UB-02 (AM-S1 + AA-21),,5540.06,44.32,1947.49,15.58
Audio Array,FBA79847,B0FN7FYZM3,PB-09 (AM-C45 + AI-06 + AA-05),,2097.58,27.24,-141.14,-1.83
Audio Array,FBA79904,B0FTVQQVDC,PB-10 (AM-C2+AI-04+AH-60-BL),,5575.63,46.47,2125.83,17.72
Audio Array,FBA79905,B0FTVSH458,PB-11 (AM-C44+AA-05+AH-45-BK),,3735.25,46.7,1412.53,17.66
Audio Array,FBA79906,B0FTVVLNS9,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),,5371.68,41.32,1643.38,12.64
Audio Array,FBA79907,B0FTVS34SD,PB-13 (AM-C43+AH-40-SL+AI-11),,2022.94,40.47,550.22,11.01
Audio Array,FBA79908,B0FTVV1QJY,PB-14 (AM-C43+AH-40-SL+AI-12),,1743.09,38.74,400.37,8.9
Audio Array,FBA79389,B0D3M13T6H,AWB-01,,2495.38,30.07,171.66,2.07
Audio Array,FBA79957,B0G3Q517Y2,AM-W23,,1212.32,40.42,372.6,12.42
Audio Array,FBA79958,B0G3Q59X8C,AM-W24,,841.24,44.3,309.52,16.3
Audio Array,FBA79959,B0G39ZHDYP,AM-W47 Wired,,843.13,56.25,313.41,20.91
Audio Array,FBA79960,B0G3B152FR,AM-W47 Wireless,,1082.19,49.21,356.47,16.21
Audio Array,FBA79961,B0G53H49BS,AI-13,,1113.72,38.42,302.0,10.42
Audio Array,FBA79962,B0G53LZNY3,AM-Mix4 OTG,,2079.98,37.82,540.26,9.82
Audio Array,FBA79963,B0G53CB72D,AM-Mix8,,7516.13,35.79,1636.41,7.79
Audio Array,FBA79964,B0G53KWRWH,AM-Pro12,,10014.36,40.06,3014.64,12.06
Audio Array,FBA79965,B0G53PRM34,AM-Mix6,,3216.56,37.85,836.84,9.85
Audio Array,FBA79966,B0G53KWRVW,AM-Mix10,,5238.61,43.66,1878.89,15.66
Nexlev,FBA78980,B0CDPMX152,GS-02,1259.863340251765,906.05,37.77,-44.45,-1.85
Nexlev,FBA78981,B0CDPP45BM,SC-01,1785.858091272,2423.07,50.49,713.49,14.87
Nexlev,FBA78994,B0CDQ98FDM,NP-01,412.44241932,296.77,42.46,-76.89,-11.0
Nexlev,FBA78995,B0CDQ55W2M,NP-02,417.7687104,292.0,41.77,-114.08,-16.32
Nexlev,FBA78996,B0CDQ6G4TC,NP-03,412.87845528,296.38,42.4,-76.31,-10.92
Nexlev,FBA78997,B0CDQ5Y3YB,NP-04,412.43655708,772.96,64.47,229.31,19.13
Nexlev,FBA78998,B0CDQ5NBH8,NP-05,557.5435244549999,643.16,53.64,87.9,7.33
Nexlev,FBA79229,B0CQX9ZZMH,GS-04,1511.237201601177,511.7,23.27,-429.91,-19.55
Nexlev,FBA79375,B0D2P6KF4N,ET-03-BL_NE,192.7051100470588,81.01,27.09,-118.57,-39.66
Nexlev,FBA79373,B0D2P5TGWK,ET-01-BK_NE,294.1858844047059,-9.77,-3.27,-218.47,-73.07
Nexlev,FBA79374,B0D2P7WLJB,ET-02-GN_NE,294.072546390353,-9.67,-3.23,-252.26,-84.37
Nexlev,FBA79262,B0CYSMBCB8,SC-02,1376.098740986824,802.08,33.43,-190.73,-7.95
Nexlev,FBA79263,B0CYSLCRQS,MR-01,1043.966580466765,1465.48,48.87,295.24,9.84
Nexlev,FBA79265,B0D2LHNS9B,CR-01,532.2458977941177,370.5,37.09,-156.68,-15.68
Nexlev,FBA79266,B0D2LGR3GG,T-01,515.9893311698823,1232.5,61.66,361.58,18.09
Nexlev,FBA79267,B0D2LD6BYJ,T-02,605.2201951552942,356.06,33.62,-210.07,-19.84
Nexlev,FBA79268,B0D383WQPB,GS-05,986.0083948418824,812.05,40.62,35.45,1.77
Nexlev,FBA79271,B0D83Q7L8W,V-01,727.868396556,534.49,38.2,-190.36,-13.61
Nexlev,FBK79271,B0DQ8W1RBV,V-01 Rose Gold,662.8817921357646,677.37,45.19,-80.78,-5.39
Nexlev,FBA79272,B0D2LFMY48,HS-01,377.0089397491765,339.87,42.54,-61.93,-7.75
Nexlev,FBA79273,B0D2LKB4BJ,HS-02,388.0184501138823,330.02,41.3,-72.66,-9.09
Nexlev,FBA79276,B0D2LJSQXZ,SM-01,2356.124327593412,1111.85,29.27,-424.36,-11.17
Nexlev,FBA79277,B0D672NXC8,SC-03,3991.942051902,2529.9,35.14,-472.95,-6.57
Nexlev,FBA79279,B0D8445KJN,LR-01,443.9562895312941,364.73,40.57,-29.98,-3.34
Nexlev,FBA79280,B0D845B2DG,LR-02,888.8646458202353,475.22,31.7,-151.11,-10.08
Nexlev,FBA79278,B0D86ZC9YT,HD-01,768.3564682503529,583.01,38.89,-183.57,-12.25
Nexlev,FBA79332,B0D63FKYZ5,HM-01,489.4298656263529,513.61,51.41,-34.14,-3.42
Nexlev,FBA79333,B0D63DTKQB,HM-02,713.2138369411765,789.62,52.68,-29.5,-1.97
Nexlev,FBA79346,B0D25LNDSY,ETC-04-WH,404.1756601411765,315.57,39.5,-93.4,-11.69
Nexlev,FBA79347,B0D842173P,ETC-05-PI,412.1703686541176,308.42,38.6,-101.19,-12.66
Nexlev,FBA79349,B0D9KDQCCM,SW-01,415.6081769752941,579.65,58.02,158.69,15.88
Nexlev,FBA79348,B0D81DLSFT,HD-02,461.394376884,433.88,43.43,-65.68,-6.57
Nexlev,FBA79350,B0D67727VG,EA-01,709.0588431529411,412.39,37.52,-155.47,-14.15
Nexlev,FBA79352,B0D637B562,WF-02-BL,561.6879530112,513.65,42.84,-134.92,-11.25
Nexlev,FBA79381,B0D9KCNVNM,ETR-06,671.4046721054117,457.88,36.66,-161.72,-12.95
Nexlev,FBA79404,B0D9KFZYG8,FS-01,888.6326424247059,644.91,37.96,-203.82,-12.0
Nexlev,FBA79405,B0D9KFP4MG,HSB-03,878.3125268611764,866.01,44.43,-82.62,-4.24
Nexlev,FBA79406,B0DCK3N2JJ,HSB-04,1039.810120212706,1357.14,50.28,124.84,4.63
Nexlev,FBA79439,B0DCK7ZH5P,MR-02,1280.077881641471,1735.43,51.06,465.31,13.69
Nexlev,FBA79440,B0DCGHKRXX,LE-02,632.990503872,1127.83,56.42,197.58,9.88
Nexlev,FBA79443,B0D9KFQG8Q,LE-03,1007.409733632,538.66,31.7,-263.57,-15.51
Nexlev,FBA79452,B0DCGHVN81,VC-01,1075.244194191176,816.97,38.92,-99.27,-4.73
Nexlev,FBA79451,B0D9KCKY9F,SS-01,1324.366579495059,1017.85,39.16,5.18,0.2
Nexlev,FBA79463,B0DCK56Q85,VC-02,1224.479997825882,1022.45,40.91,46.28,1.85
Nexlev,FBA79464,B0DFCDKMWR,CM-01-BL,559.7018914934117,926.94,61.84,225.03,15.01
Nexlev,FBA79472,B0DFCDZWND,CM-02-PR,559.7018914934117,831.71,59.45,167.29,11.96
Nexlev,FBA79466,B0DFM4JZV9,TI-01,1249.9684028352,-271.53,-27.18,-868.16,-86.9
Nexlev,FBA79467,B0DK9LYT4P,TM-01,482.405187726,584.57,48.75,4.34,0.36
Nexlev,FBA79699,B0DTYDTKN8,SPM-01,2762.011436717647,664.02,17.95,-1087.58,-29.4
Nexlev,FBA79469,B0DCK4DR1B,LE-04,593.7632574437647,764.62,50.01,-58.0,-3.79
Nexlev,FBA79473,B0DJFH6RTL,TI-02,818.559830016,707.6,41.65,-114.52,-6.74
Nexlev,FBA79474,B0DJFH4K8B,TIC-03,813.471473664,924.01,47.41,9.81,0.5
Nexlev,FBA79475,B0DJFJZMC6,TIC-04,1391.8283136,449.02,22.46,-529.95,-26.51
Nexlev,FBA79480,B0DDC3GVZW,VC-03,784.0850119417061,992.67,49.66,233.23,11.67
Nexlev,FBA79481,B0DFMRG2K4,TM-02,1301.729149793647,529.62,26.49,-454.13,-22.72
Nexlev,FBA79484,B0DNJF1BLS,CF-01,715.7238826870589,545.35,38.98,-109.62,-7.84
Nexlev,FBA79483,B0DK9NRBWJ,TM-03,593.9335702588235,1162.77,58.17,235.64,11.79
Nexlev,FBA79485,B0DK9QNKK8,TM-04,396.9780903275294,660.99,55.13,87.59,7.31
Nexlev,FBA79488,B0DFCG2VGS,KE-01,983.117315178,814.63,40.75,-32.73,-1.64
Nexlev,FBA79489,B0DFD123P5,KE-02,979.8619625174118,902.29,42.99,26.69,1.27
Nexlev,FBA79492,B0DT6Y7KJM,V-02,1094.099631179294,969.59,42.17,-131.05,-5.7
Nexlev,FBA79493,B0DQCWRG3H,V-03,853.0487662870589,973.36,47.5,-11.75,-0.57
Nexlev,FBA79567,B0DNJS23HS,SC-04,2694.41164836,2673.64,44.57,259.23,4.32
Nexlev,FBA79566,B0DKJSCLBD,VC-05,1062.74395224,997.64,43.39,22.44,0.98
Nexlev,FBA79565,B0DKJZDY72,VC-04,1111.527628907294,1123.49,44.96,119.39,4.78
Nexlev,FBA79570,B0DKJXRXKM,BR-01,535.5270253821177,1045.53,58.12,245.04,13.62
Nexlev,FBA79573,B0DKK15YNJ,EA-02,996.4635911830588,1488.62,59.57,368.77,14.76
Nexlev,FBA79589,B0DNJP9T35,SS-02,1188.722739255882,376.47,22.16,-462.29,-27.21
Nexlev,FBA79590,B0DM6BB3VT,CFM-01,990.3467358084704,1970.29,65.7,635.42,21.19
Nexlev,FBA79591,B0DM66B2DW,KM-01,1038.277948792765,498.84,33.28,-297.36,-19.84
Nexlev,FBA79595,B0DMSHZXG2,EM-02,1421.140347207529,1203.97,46.32,31.65,1.22
Nexlev,FBA79596,B0DMT19RWC,MG-01,941.3024705788232,871.3,48.43,-25.64,-1.43
Nexlev,FBA79598,B0DNJJKBKG,BM-02,969.1737972352942,1450.27,55.8,225.11,8.66
Nexlev,FBA79652,B0F43P6D23,SC-05,1442.751538447059,1801.78,49.38,447.39,12.26
Nexlev,FBA79679,B0DVC7VJP1,ST-01,3422.031243928941,2107.51,34.55,-411.41,-6.75
Nexlev,FBA79673,B0FJG5PFGQ,ETC-07-WH,370.7116072824705,345.5,43.24,-60.79,-7.61
Nexlev,FBA79677,B0DVCBR11D,NP-06,500.364286875,503.83,50.43,21.14,2.12
Nexlev,FBA79678,B0DVCDD5VC,NP-07,500.6295333225,503.6,50.41,-29.11,-2.91
Nexlev,FBA79683,B0DVC9PRSD,AP-01,10157.5494254592,5311.98,31.27,-1503.28,-8.85
Nexlev,FBA79681,B0DVC968P1,HU-01,828.1827976785884,953.23,47.69,58.29,2.92
Nexlev,FBA79682,B0DVC8NYY2,HU-02,817.0415588329412,793.7,44.12,-37.35,-2.08
Nexlev,FBA79686,B0DV94R4QD,MGS-02,435.150557856,466.93,51.94,-30.48,-3.39
Nexlev,FBA79687,B0DV9CY3XR,MGC-03,979.9131594758824,1141.53,53.87,123.7,5.84
Nexlev,FBA79688,B0DV8TR64D,MM-01,6145.047201599999,2818.75,28.19,-1451.53,-14.52
Nexlev,FBA79689,B0DVSZ2VVJ,CFM-02,3169.762874660118,2719.86,45.34,77.64,1.29
Nexlev,FBA79692,B0DVC58QPZ,AP-03,2004.3549508608,1765.5,42.05,83.47,1.99
Nexlev,FBA79693,B0DVC91Q7J,TM-05,1176.51339765847,1912.82,54.67,343.58,9.82
Nexlev,FBA79707,B0FJ1ZB4G9,ETC-08-BL,404.5080908795294,315.27,39.46,-93.73,-11.73
Nexlev,FBA79809,B0FJ8SFNRH,KE-03,324.5,591.57,78.98,164.16,21.92
Nexlev,FBA79810,B0FS7T8151,MF-01,260.705247354,274.42,45.81,-45.08,-7.53
Nexlev,FBA79811,B0FSF1N457,MC-01,299.8877864558823,239.37,39.96,-52.32,-8.73
Nexlev,FBA79812,B0FS6TB7CP,PB-01,1306.860547256471,948.76,37.97,-29.0,-1.16
Nexlev,FBA79819,B0FT8R24QM,LR-03,157.3065790221176,197.42,49.48,-16.86,-4.23
Nexlev,FBA79849,B0FPGDVVCX,CFM-03,1956.836866102941,2485.97,49.73,338.79,6.78
Nexlev,FBA79971,B0GGHZWMVW,SP-01,5344.856012448,3268.82,34.41,-543.94,-5.73
Nexlev,FBA79984,B0GM1CZC7Y,MR-03,2001.475485741176,3801.98,57.61,1089.22,16.51
